"","fname","time","text","block","info","RT","fix_cross_time","risk","rew","prev_rew","next_risk","prev_risk","learning","critical","trained","last_trial","trial_type","blink","blink_time","blink_duration","meg","Zmean","Zsd","BL_fix_m300","inter_trial","V_m1999_m1950","V_m1949_m1900","V_m1899_m1850","V_m1849_m1800","V_m1799_m1750","V_m1749_m1700","V_m1699_m1650","V_m1649_m1600","V_m1599_m1550","V_m1549_m1500","V_m1499_m1450","V_m1449_m1400","V_m1399_m1350","V_m1349_m1300","V_m1299_m1250","V_m1249_m1200","V_m1199_m1150","V_m1149_m1100","V_m1099_m1050","V_m1049_m1000","V_m999_m950","V_m949_m900","V_m899_m850","V_m849_m800","V_m799_m750","V_m749_m700","V_m699_m650","V_m649_m600","V_m599_m550","V_m549_m500","V_m499_m450","V_m449_m400","V_m399_m350","V_m349_m300","V_m299_m250","V_m249_m200","V_m199_m150","V_m149_m100","V_m99_m50","V_m49_0","V_1_50","V_51_100","V_101_150","V_151_200","V_201_250","V_251_300","V_301_350","V_351_400","V_401_450","V_451_500","V_501_550","V_551_600","V_601_650","V_651_700","V_701_750","V_751_800","V_801_850","V_851_900","V_901_950","V_951_1000","V_1001_1050","V_1051_1100","V_1101_1150","V_1151_1200","V_1201_1250","V_1251_1300","V_1301_1350","V_1351_1400","V_1401_1450","V_1451_1500","V_1501_1550","V_1551_1600","V_1601_1650","V_1651_1700","V_1701_1750","V_1751_1800","V_1801_1850","V_1851_1900","V_1901_1950","V_1951_2000","V_2001_2050","V_2051_2100","V_2101_2150","V_2151_2200","V_2201_2250","V_2251_2300","V_2301_2350","V_2351_2400","V_2401_2450","V_2451_2500","V_2501_2550","V_2551_2600","V_2601_2650","V_2651_2700","V_2701_2750","V_2751_2800","V_2801_2850","V_2851_2900","V_2901_2950","V_2951_3000","feedback_prev","index","Zmean_2","Zsd_2","trial_type4","group","train"
"1","P301",617287,"RESPONSE REW VAL1_19",1,"1_19",1802,615317,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"learning",FALSE,-1,0,FALSE,5259.06118383728,371.996247599825,5652.20598006645,5659.37894736842,5654.56,5643.12,5635.74,5630.78,5635.6,5638.56,5640.18,5634.02,5635.62,5629.96,5641.1,5640.82,5638.76,5639.90967741935,5592.95894428152,5539.87976539589,5486.80058651026,5433.72140762463,5380.642228739,5327.56304985337,5351.66434017595,5472.62,5536.66,5564.84,5609.24,5646.42,5668.84,5682.58,5699.04,5717.4232,5699.26306865672,5651.37313432836,5619.64059701493,5596.52,5586,5597.66,5599.18,5598.24,5599.76,5601.86,5609.62,5631.8,5614.52,5596.72,5576.7,5571.58,5574.26,5570.8,5564.36,5571.52,5568.42,5561.14,5551.16,5539.92,5528.84,5519.68,5518.06,5517.96,5519.16,5511.26,5508.84,5509.56,5522.3,5527.36,5513.88,5515.64,5522.08,5528,5526.94,5518.5,5499.44,5484.2,5487.72,5493.74,5491.58,5498.44,5505.32,5515.78,5535.1,5553.6,5567.02,5564.9,5572.88,5579.38,5584.54,5598.2,5600.98,5604.36,5613.38,5624.18,5612.16,5608.06,5602.34,5619.2,5611.38,5607.52,5607.46,5581.55130434783,5504.09782608696,5426.61335403727,"positive",19,5419.90633937405,217.718022982941,"norisk","autists","not_trained"
"2","P301",703185,"RESPONSE REW VAL1_34",1,"1_34",3152,699849,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"criterion",FALSE,-1,0,FALSE,5259.06118383728,371.996247599825,5758.73089700997,5774.48958333333,5502.58,5473.56,5458.74,5447.38,5460.38,5475.84,5472.08,5461.78,5451.64,5453.4,5456.6,5460.42,5467.82,5468.42,5479.80868167203,5354.76848874598,5207.50160771704,5060.2347266881,4912.96784565916,4765.70096463022,4620.67768488746,4753.2,5019.02,5153.94,5239.44,5326.08,5391.26,5440.36,5475.02,5495.12,5512.6,5509.02,5499.64,5496,5509.56,5506.78,5530,5549.22,5549.64,5550.66,5613.26,5686.84,5664.22,5661.22,5698.34,5702.24,5636.22341463415,5502.25658536585,5523.04,5535.46,5535.18,5539.36,5554.04,5559.8,5558.62,5557.98,5558.02,5570.06,5578.1,5581.7,5595.04,5593.84,5599.72,5599.92,5603.56,5616,5611.64,5607.24,5607.7,5605.88,5596.3,5592.78,5592.58,5597.74,5596.58,5616.98,5625.86,5640.8,5654.58,5664.02,5679.02,5697.46,5688.18,5696.22,5691.76,5696.24,5698.98,5685.86,5677.96,5672.18,5682.74,5682.48,5679,5689.7,5686.8,5671.02,5668.94,5668.36,5682.88,5676.0268852459,"positive",34,5419.90633937405,217.718022982941,"norisk","autists","not_trained"
"3","P301",733331,"RESPONSE REW VAL1_39",1,"1_39",3877,729270,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"norisk",FALSE,-1,0,FALSE,5259.06118383728,371.996247599825,5609.64119601329,5647.06666666667,5543.13870967742,5500.88563049853,5475.37243401759,5449.85923753666,5424.34604105572,5398.83284457478,5373.31964809384,5365.92545454545,5496.20244897959,5531.33755102041,5621.36,5673.52,5697.57181818182,5639.51136363636,5592.65681818182,5595.62,5617.88,5614.98,5616.42,5602.58,5600.34,5593.66,5611.24,5605.9,5611.6,5624.38,5626.56,5636.62,5645.8,5654.7,5657.24,5646,5644.26,5629.62,5574.9,5579.2,5571.62,5559.74,5562.12,5577.3,5568.1,5565.38,5571.72,5575.9,5569.98,5568.68,5578.38,5580.54,5581.64,5568.9,5539.66,5544.04,5535.82,5526.84,5521.48,5519.4,5525.44,5526.24,5530.82,5546.04,5548.18,5565.9,5568.5,5572.04,5585.56,5589.82,5598.8,5602.76,5606.92,5606.16,5600.7,5610.26,5618.18,5623.4,5641.02,5652.4,5661.1,5678.34,5659.56,5672.88,5681.92,5688.5,5711.9,5729.96,5747.5,5742.34,5742.64,5734.46,5727.38,5712.48,5710.52,5705.56,5686.2,5676.4,5680.6,5677.36,5654.38,5679.82,5618.5,5525.64285714286,"positive",39,5419.90633937405,217.718022982941,"norisk","autists","trained"
"4","P301",738114,"RESPONSE REW VAL1_40",1,"1_40",2313,735617,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,"final",FALSE,-1,0,FALSE,5259.06118383728,371.996247599825,5713.97009966777,5745.67816091954,5656.5,5673.5,5649.74857142857,5557.21428571429,5464.35714285714,5371.5,5278.64285714286,5185.78571428571,5092.92857142857,5022.24285714286,5158.72,5282.96,5379.62,5468.52,5526.86,5544.34,5529.90150943396,5444.31849056604,5462.34,5479.56,5479.3,5478.48,5500.1,5526,5547.16,5565.7,5572.5,5583.16,5600.048,5563.55745454545,5556.47727272727,5558.75,5561.02272727273,5558.20454545455,5563.28,5548.08,5552.34,5577.92,5593.4,5583.76,5583.18,5580.72,5571.4,5574.22,5566.74,5553.78,5546.08,5514.66,5374.268,5031.632,5173.88,5320.58,5393.44,5435.08,5434.6,5459.04,5482.48,5499,5517.12,5538.24,5552.72,5559.12,5569.14,5576.36,5584.82,5607.58,5602.5,5604.26,5595.3,5592.14,5588.12,5583.54,5590.3,5602.12,5601.4,5611.06,5620.16,5634.46,5658.1,5676.28,5693.58,5709.62,5719.42,5727.94,5726.86,5720.62,5715.84,5705.22,5666.48,5648.1,5644.3,5644.4,5624.7,5599.18,5540.92,5472.26,5421.38,5384.5,5344.94972332016,5296.14624505929,"positive",40,5419.90633937405,217.718022982941,"norisk","autists","trained"
"5","P301",961866,"RESPONSE REW VAL4_2",4,"4_2",2395,959294,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"unused",FALSE,-1,0,FALSE,5259.06118383728,371.996247599825,5569.073089701,5579.15482695811,5497.74,5483.46,5466.74,5459.56,5408.4,5378.38,5369.22,5362.02,5357.36,5367.3046835443,5365.40981012658,5348.16297468354,5330.91613924051,5313.66930379747,5296.42246835443,5279.17563291139,5342.86898734177,5335.44,5396.5,5475.02,5516.1,5535.2,5550.12,5562.52,5590,5623.33333333333,5648.66666666667,5621.6403125,5507.6896875,5488.9,5473.8,5473.42,5477.46,5479.88,5510.7,5529.4,5527.38,5533.76,5560.42,5539.7,5531.82,5520.06,5517.02,5519.34,5519.92,5547.1475,5585.3225,5591.68,5590.68,5565.26,5539.56333333333,5516.15277777778,5506.43055555556,5496.69333333333,5495.94,5484.9,5482.26,5485.86,5480.28,5500.14,5494.88,5495.56,5494.86,5497.64,5507.28,5524.26,5534.54,5547.16,5532.38,5496.46,5474.22,5448.36,5432.78,5430.42,5433.62,5454.50305882353,5472.23529411765,5458.06164705882,5459.66,5470.72,5479.52,5489.8,5501.26,5504.5,5516.96,5517.7,5521.94,5522.44,5521.72,5520.44,5521.16,5519.34,5514.98,5514.24,5521.6,5523.42,5511.84,5520.24,5516.7,5512.8,"positive",42,5419.90633937405,217.718022982941,"norisk","autists","not_trained"
"6","P301",1262671,"RESPONSE REW VAL3_2",3,"3_2",2757,1259737,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"learning",FALSE,-1,0,FALSE,5259.06118383728,371.996247599825,5517.26910299003,5539.26326530612,5377.56,5375.26256410256,5365.09523809524,5331.3956043956,5297.69597069597,5263.99633699634,5230.2967032967,5242.01758241758,5221.96,5233,5269.95875,5304.93125,5333.62,5353.78,5367.98,5389.02,5407.58,5427.16,5439.98,5438.88,5448.24,5458.8,5463.9,5475.9,5488.84,5483,5487.28,5498.76,5392.86,5402.54,5404.82,5402.48,5401.26,5394.54,5389.1,5389.3,5390.32,5390.66,5392.14,5387.48,5388.32,5381.96,5371.72,5366.42,5360.26,5360.38,5381.86,5392.92,5407.06,5421.84,5402.26,5406.16,5417.18,5427.68,5432.06,5442.78,5444.38,5449.28,5452.48,5468.56,5470.06,5468.48,5473.84,5479.38,5473.28,5473.22,5486.24,5493.18,5488.58,5484.48,5485.28,5477.74,5452.1,5448.32,5444.92,5459.3,5479.8,5503.06,5524.28,5534.06,5567.62,5604.26,5608.02,5616.58,5602.04,5602.78,5583.86,5548.08,5552.96,5553.32,5526.58,5508.6,5500.04,5500.06,5497.02,5496.84,5511.8,5540.56,5529.68,5528.06,"positive",82,5419.90633937405,217.718022982941,"norisk","autists","not_trained"
"7","P301",1329709,"RESPONSE REW VAL3_17",3,"3_17",1524,1328007,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"criterion",FALSE,-1,0,FALSE,5259.06118383728,371.996247599825,5395.63787375415,5405.48024948025,5404.9,5404.46,5404.08,5395.32,5380.64,5383.3,5386,5395.78,5394.3,5390.52,5386.56,5408.62,5406.44,5403.9,5408.32,5409.12,5417.52,5399.7,5366.16,5407.94,5439.04,5454.74,5463.96,5446.88,5374.57318435754,5231.41759776536,5082.67458100559,4933.93156424581,4785.18854748603,4636.44553072626,4487.70251396648,4339.55648044693,4430.12,4643.24,4775.28,4860.44,4921.92,4974.38,4998.98,5018.5,5021.64,5058.42,5089.76,5117.62,5091.62,5094.8,5096,5134.3,5181.74,5224.86,5258.6,5280.32,5297.36,5299.86,5244.9,5252.86,5260.88,5268.56,5269.38,5278.86,5283.9,5291.96,5298.72,5308.2,5314.6,5322.36,5348.02,5364.5,5364.5,5368.24,5362.02,5314.96,5288.62,5321.5,5337.32,5364.26,5384.68,5420.46,5447.72,5469.58,5459.92,5463.7,5480.74,5491.98,5496.96,5433.5,5442.44,5440.22,5448.58,5471.68,5484.64,5486.44,5511.38,5516.36,5526.08,5535.9,5508.02,5503.04,5507.8,5506.74,"positive",97,5419.90633937405,217.718022982941,"norisk","autists","not_trained"
"8","P301",1334704,"RESPONSE REW VAL3_18",3,"3_18",2137,1332389,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"criterion",FALSE,-1,0,FALSE,5259.06118383728,371.996247599825,5480.96013289037,5471.37006237006,5507.92,5522.32,5536.18,5553.7,5565.96,5578.22,5589.08,5583.76,5586.18,5581.6,5501.82,5487.02,5508.66,5520.44,5537.96,5550.28,5474.35082872928,5365.23480662983,5256.11878453039,5147.00276243094,5037.88674033149,4928.77071823204,4819.6546961326,4806.28066298343,4953.91375,4892.85625,4932.6,5051.68,5128.58,5184.42,5263.4,5312.6,5340.96,5348.68,5351.86,5355.06,5341,5241.54,5261.48,5274.68,5286.9,5341.26,5376.48,5387.5,5380.3,5357.34,5345.96,5272.8,5151.65875,4711.62125,4545.32,4631.48,4869.74,5047.5,5164.06,5231.06,5240.3,5219.92,5273.54,5306.3,5345.36,5371.6,5401.44,5425.3,5444,5461.66,5493.8,5491.94,5426.8,5286.15995012469,5176.64588528678,5071.90773067332,4967.16957605985,4862.43142144638,4757.69326683292,4652.95511221945,4548.21695760599,4515.34759975062,4741.6825,4908.46,4994.84,5109.54,5196.88612244898,5267.27387755102,5312.28,5346.34,5396.84,5424.78,5437.56,5444.42,5456.02,5460.8,5410.4,5398,5394.86,5394.7952,5363.7248,5368.54,5386.7,5411.62,"positive",98,5419.90633937405,217.718022982941,"norisk","autists","not_trained"
"9","P301",1377237,"RESPONSE REW VAL3_26",3,"3_26",622,1376437,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"norisk",FALSE,-1,0,FALSE,5259.06118383728,371.996247599825,5296.44850498339,5284.57322175732,5107.16,5090.44,5106.86,5104.96,5113.44,5138.32,5151.62,5163.06,5164.84,5190.62,5214.74,5228.1,5238.1,5258.04,5260.94,5270.04,5260.52,5263.96,5287.44,5292.26,5294.54,5308.2,5313,5283.6,5300.12,5315.9,5330.76,5338.48,5343.84,5360.14,5366.22,5387.96,5398.26,5400.24,5402.38,5391.06,5389.98,5383.5,5396.3,5399.06,5384.01714285714,5294.06285714286,5319.62,5310.74157480315,5224.40157480315,5128.60104986877,5032.80052493438,4937,4841.19947506562,4745.39895013123,4649.59842519685,4652.91842519685,4890.74,4936.6103030303,5038.38888888889,5113.62080808081,5170.98,5237.4,5277.42,5327.58,5373.2,5418.44,5438.26,5452.84,5458.32,5470.24,5470.78,5471.8,5462.4,5442.62,5422.22,5404.02,5374.08,5306.18,5340.52,5374.96,5413.36,5438.44,5464.66,5492.86,5525.46,5523.92,5516.72,5524.94,5510.74,5493.7,5480,5472.02,5475.64,5468.66,5464.84,5468.02,5475.78,5472.76,5493.2,5507.56,5511.7,5508.88,5516.38,5509.02,"negative",106,5419.90633937405,217.718022982941,"norisk","autists","trained"
"10","P301",1577309,"RESPONSE REW VAL2_2",2,"2_2",802,1576327,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"unused",FALSE,-1,0,FALSE,5259.06118383728,371.996247599825,5151.84717607973,5146.44642857143,5145.14668367347,5076.9068877551,5008.66709183673,4940.42729591837,4872.1875,4803.94770408163,4735.82979591837,4817.52714285714,4950.18085714286,5132.152,5219.34,5244.1,5253.86,5111.46,5124.06,5139.16,5139.96,5139.62,5159.76,5182.92,5196.06,5217.62,5227.08,5250.14,5262.74,5277.68,5297.32,5305.24,5310.34,5285.1,5314.48,5349.04,5361.4,5369.98,5380.74,5379.96,5299.24,5259.48,5270.14,5280.36,5313.94,5315.68,5324.8,5338.64,5345.58,5351.58,5351.88,5363.72,5368.14,5362.62,5363.6,5368.18,5357.91073170732,5373.92926829268,5382.6,5383.52,5375.12,5376.54,5390.4,5398.56,5406.7,5412.28,5426.28,5444.96,5442.92,5446.16,5449.4,5395.75501432665,5288.71346704871,5184.41547277937,5080.11747851003,4975.81948424069,4871.52148997135,4767.22349570201,4762.4540974212,4965.66,5064.32,5139.2,5192.12,5227.5,5252.1,5272.04,5295.54,5306.72,5310.62,5313.46,5304.94,5253.56,5258.86,5273.98,5271.1,5272.3,5292.32,5308.12,5317.64,5319.84,5325.26,5295.9,5292.72,5288.4,"positive",122,5419.90633937405,217.718022982941,"norisk","autists","not_trained"
