"","fname","time","text","block","info","RT","fix_cross_time","risk","rew","prev_rew","next_risk","prev_risk","learning","critical","trained","last_trial","trial_type","blink","blink_time","blink_duration","meg","Zmean","Zsd","BL_fix_m300","inter_trial","V_m1999_m1950","V_m1949_m1900","V_m1899_m1850","V_m1849_m1800","V_m1799_m1750","V_m1749_m1700","V_m1699_m1650","V_m1649_m1600","V_m1599_m1550","V_m1549_m1500","V_m1499_m1450","V_m1449_m1400","V_m1399_m1350","V_m1349_m1300","V_m1299_m1250","V_m1249_m1200","V_m1199_m1150","V_m1149_m1100","V_m1099_m1050","V_m1049_m1000","V_m999_m950","V_m949_m900","V_m899_m850","V_m849_m800","V_m799_m750","V_m749_m700","V_m699_m650","V_m649_m600","V_m599_m550","V_m549_m500","V_m499_m450","V_m449_m400","V_m399_m350","V_m349_m300","V_m299_m250","V_m249_m200","V_m199_m150","V_m149_m100","V_m99_m50","V_m49_0","V_1_50","V_51_100","V_101_150","V_151_200","V_201_250","V_251_300","V_301_350","V_351_400","V_401_450","V_451_500","V_501_550","V_551_600","V_601_650","V_651_700","V_701_750","V_751_800","V_801_850","V_851_900","V_901_950","V_951_1000","V_1001_1050","V_1051_1100","V_1101_1150","V_1151_1200","V_1201_1250","V_1251_1300","V_1301_1350","V_1351_1400","V_1401_1450","V_1451_1500","V_1501_1550","V_1551_1600","V_1601_1650","V_1651_1700","V_1701_1750","V_1751_1800","V_1801_1850","V_1851_1900","V_1901_1950","V_1951_2000","V_2001_2050","V_2051_2100","V_2101_2150","V_2151_2200","V_2201_2250","V_2251_2300","V_2301_2350","V_2351_2400","V_2401_2450","V_2451_2500","V_2501_2550","V_2551_2600","V_2601_2650","V_2651_2700","V_2701_2750","V_2751_2800","V_2801_2850","V_2851_2900","V_2901_2950","V_2951_3000","feedback_prev","index","Zmean_2","Zsd_2","trial_type4","group","train"
"1","P001",2599058,"RESPONSE REW VAL1_20",1,"1_20",556,2598318,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"unused",FALSE,-1,0,FALSE,4896.69603769499,300.578838801003,4866.09302325581,4918.06802721088,5081.4,5084.4,5088.1,5079.4,5091.38,5065.62,5002.45636363636,4866.16363636364,4764.48,4691.32,4638.64,4594.78,4562.04,4581.00059405941,4586.07920792079,4634.2001980198,4685.68,4675.64,4706.62,4796.88,4801.3,4829.92,4875.38,4907.54,4945.94,4976.02,4994.76,5005.64,5020.44,5029.26,5034.9,5035,5031.08,5010.78,5000.94,4954.3,4912.72,4852.12,4780.22,4711.68,4678.8,4658.98,4655.72,4652.46,4631.64,4628.14,4613,4640.88,4652.02,4678.78,4746.6,4743.1,4757.98,4796.68,4833.06,4860.22,4890.8,4912.46,4932.2,4953.7,4970.2,4989.92,5004.2,5010.76,5015.4,5015.44,5017.88,4987.18,4901.82,4782.74,4701.72,4613.7,4535.46,4498.8,4438.36923076923,4412.3,4403.83846153846,4395.37692307692,4386.91538461538,4378.45384615385,4369.99230769231,4380.57384615385,4419.86,4464.86,4514.56,4625.12,4685.22,4733.78,4771.72,4824.46,4837.5,4860.22,4877.96,4888.86,4873.82,4816.22,4804,4791.84,4769.56,4727.16,"positive",20,4890.72195215003,252.39447041912,"norisk","normals","not_trained"
"2","P001",2622165,"RESPONSE REW VAL1_27",1,"1_27",1406,2620576,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"unused",FALSE,-1,0,FALSE,4896.69603769499,300.578838801003,4798.16112956811,4870.12230215827,4589.8,4635,4665.6,4705,4784.55,4836.64,4875.2,4874.04,4881.84,4884.64,4887.6,4897.12,4901.96,4894.32,4896.52,4895.12,4877.08,4894.92,4888.24,4863.04,4813.96,4773.96,4741.2,4704.2,4688.16,4681.6,4661.48,4639.12,4649.4,4686.96,4716.96,4731.96,4732.52,4744.56,4767.04,4756.88,4799.8,4803.24,4782.6,4783.32,4772.56,4776.32,4794.76,4817.16,4893.01126213592,4929.56634304207,4959.01618122977,4988.46601941748,5017.91585760518,5047.36569579288,5078.7386407767,5097.44,5042.44,5063.24,5067.6,5046.96,5032.16,5024.2,5026.96,5017.92,5031.32,5046.36,5057.08,5059.56,5072.24,5076.92,5059.88,5013.56,4895.95111111111,4726.36888888889,4627.96,4555.96,4509.2,4479.4,4462.16,4452.52,4459.24,4488.52,4541.88,4598.68,4657.16,4719.64,4784.16,4820.8,4866.44,4904.56,4934.76,4950.36,4960,4979.36,4989.2,4998.08,5008.28,5012.48,5013.6,4990.2,4976.28,4926.48,4892.68,4852.16,"negative",27,4890.72195215003,252.39447041912,"norisk","normals","not_trained"
"3","P001",2625990,"RESPONSE REW VAL1_28",1,"1_28",1299,2624507,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"unused",FALSE,-1,0,FALSE,4896.69603769499,300.578838801003,4830.85049833887,4898.86713286713,4469.54,4511.7,4572.84,4623.82,4689.78,4751.52,4807.24,4838.18,4891.76,4919,4945.88,4953.78,4968.44,4986.6,4993.48,5004.3,5010.76,5013.82,5005.9,4981.74,4951.38,4910.62,4871.74,4837.22,4812.72,4839.78,4870.52,4867.58,4872.92,4883.88,4894.74,4881.74,4910.36,4901.62,4912.62,4924.7,4940.48,4943.08,4940.66,4928.08,4909.82,4877.7,4840.66,4802.58,4776.04,4786.78,4810.9,4826.42,4820.64,4826.26,4842.02,4906.46752475248,4934.10726072607,4964.63531353135,4995.16336633663,5025.69141914191,5056.21947194719,5097.21564356436,5073.36,5083.68,5056.92,5040.64,5042.52,5037.16,5045.94,5053.96,5057.82,5054.12,4952.94,4842.48,4750,4700.88,4666.68,4619.44,4585.08,4583.32,4600.58,4633.64,4638.64,4615.78,4669.96,4720.72,4797.86,4855.48,4903.36,4943,4978,4987.28,5010.22,5023.52,5035.8,5031.94,5039.92,5045.12,5051.02,5044.74,5027.32,5002.62,4962.88,4901.58,"positive",28,4890.72195215003,252.39447041912,"norisk","normals","not_trained"
"4","P001",2639397,"RESPONSE REW VAL1_31",1,"1_31",3478,2635736,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"unused",FALSE,-1,0,FALSE,4896.69603769499,300.578838801003,4548.74716614607,4608.21088435374,4974.72,4961.68,4925.04,4901.64,4877.2,4850.92,4841.16,4833.4,4839.52,4855.68,4888.52,4911.28,4951.88,5003.2,5036.56,5072.04,5089.56,5108.64,5125.76,5139.32,5147.76,5158.4,5149.8,5137.44,5116.28,5083.44,5038.08,5020.28,5011.16,5009.96,5005.04,4990.4,4975.04,4938.68,4899.16,4873.24,4858.72,4869.16,4897.8,4900.24,4905.24,4903.48,4904.92,4901.96,4859.96619926199,4850.83025830258,4871.86346863469,4892.89667896679,4913.92988929889,4934.963099631,4980.67040590406,5006.36,4996.8,5006.48,4995.12,5030.12,5053.22529411765,5055.62254901961,5058.90215686274,5057.36,5056.2,5052.6,5060.84,5067.52,5068.8,5062.92,5067.48,5025.92,4915.08,4771.8,4649.4,4552.56,4484,4438.48,4404.76,4376.28,4388.26635514019,4399.01401869159,4409.76168224299,4420.50934579439,4431.25700934579,4442.0046728972,4462.96691588785,4513.04,4581.08,4627.56,4672.08,4737.72,4765.48,4755.24,4786.68,4806.08,4827.36,4848.08,4851.36,4829.08,4805.6,4787.92,4802.8,4786.44,"positive",31,4890.72195215003,252.39447041912,"norisk","normals","not_trained"
"5","P001",2643059,"RESPONSE REW VAL1_32",1,"1_32",1142,2641733,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"unused",FALSE,-1,0,FALSE,4896.69603769499,300.578838801003,4537.32179339895,4619.2700729927,4431,4393.8,4378.92373831776,4390.84579439252,4401.59345794393,4412.34112149533,4423.08878504673,4433.83644859813,4444.58411214953,4475.24654205607,4525.2,4596.08,4638.12,4686.84,4751.16,4758.36,4761.4,4793.44,4809.96,4834.32,4850.84,4846.08,4826,4801.12,4784.32,4807.24,4772.72,4722.84,4697.4,4703.96,4713.68,4741.04,4768.96,4802.08,4828.48,4861.52,4876.72,4891.8,4909.52,4914.64,4887.72,4882.08,4901.68,4934.8,4958.88,4968.64,4931.60305647841,4958.02657807309,4988.92358803987,5019.82059800664,5050.71760797342,5081.6146179402,5114.21395348837,5141.44,5107.92,5103.4,5127.28,5139.2,5149.28,5170.28,5185.52,5191.36,5195.36,5196.88,5205.68,5202.04,5191.64,5155.52,5055.68,4919.08,4773.8,4653.36,4566.04,4481.28,4442.24,4457.3814084507,4487.70422535211,4507.42253521127,4527.14084507042,4546.85915492958,4566.57746478873,4586.29577464789,4618.1385915493,4674.72,4727.32,4775.2,4802.32,4825.08,4890.28,4918.56,4939,4966.8,4981.52,4996.76,4992.56,4998.28,5006.52,4987.04,4948.64,4891,"positive",32,4890.72195215003,252.39447041912,"norisk","normals","not_trained"
"6","P001",2646595,"RESPONSE REW VAL1_33",1,"1_33",1013,2645398,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"unused",FALSE,-1,0,FALSE,4896.69603769499,300.578838801003,4688.53011089795,4764.98571428571,4680.76,4592.6,4500.44,4451.12,4444.59774647887,4482.18309859155,4501.9014084507,4521.61971830986,4541.33802816901,4561.05633802817,4580.77464788732,4602.04901408451,4662.56,4715.24,4756.04,4803.24,4814.32,4874.68,4911.12,4931.84,4958.88,4977.4,4995.4,4994.16,4991.36,5011.44,4991.64,4959,4913.8,4861.56,4837.32,4826.52,4818.76,4808.36,4808.56,4804.96,4801.96,4802.36,4791.76,4775.56,4772.52,4774,4770.52,4778.72,4846.48,4846.84,4861.24,4898.16,4919.68,4938.88,4909.76,4935.88,4969.48,4989.76,5012.84,5066.68,5051.88,5050.96,5056.12,5063.64,5074.8,5078.84,5080.48,5084.8,5104.44,5122.12,5145.04,5120.08,5053.44,4944.92,4866.16,4796.44,4736.04,4685.76,4648.84414414414,4639.49099099099,4649.85135135135,4660.21171171171,4670.57207207207,4680.93243243243,4691.29279279279,4704.6645045045,4707.76,4727.88,4754.52,4807.52,4817.52,4828.68,4849.04,4884.08,4917.2,4932.88,4950.56,4968.84,4963.12,4950.28,4933.84,4921.36,4906.12,4888.92,"positive",33,4890.72195215003,252.39447041912,"norisk","normals","not_trained"
"7","P001",2650620,"RESPONSE REW VAL1_34",1,"1_34",1506,2648930,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"unused",FALSE,-1,0,FALSE,4896.69603769499,300.578838801003,4746.82814043279,4789.77205882353,4696.47297297297,4709.69297297297,4713.8,4739.32,4783.1,4814.02,4824.06,4838.8,4862.9,4903.24,4921.98,4942.84,4962.54,4969.1,4956.88,4943.08,4925.8,4912.74,4900.34,4881.46,4874.84,4874.22,4862.9,4872.32,4876.9,4881.96,4881.72,4899.08,4915.02,4925.66,4997.62,5017.96,5012.4,5015.08,5015.84,5007.46,5004.46,4997.34,4985.7,4938.22,4939.46,4936.5,4941.76,4930.3,4916,4936.48,4978.73809187279,5002.63074204947,5027.54240282686,5052.45406360424,5077.36572438163,5104.50897526502,5145.34,5123.84,5141.8,5157.74,5184.17,5182.69,5188.06,5192.92,5199.88,5198.52,5186.76,5187.6,5176.86,5177.48,5175.06,5135.58,5028.6,4901.72,4787.04,4678.72,4536.48,4475.36,4421.8,4378.42,4370.69444043321,4393.40433212996,4408.56678700361,4423.72924187726,4438.8916967509,4454.05415162455,4468.07935018051,4485.14,4544.76,4583.8,4615.76,4660.08,4689.86,4734.28,4762.82,4805.24,4825.96,4832.18,4830.88,4804.22,4812.8,4810.46,4785.36,4728.96,"positive",34,4890.72195215003,252.39447041912,"norisk","normals","not_trained"
"8","P001",2742752,"RESPONSE REW VAL2_2",2,"2_2",779,2741805,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"criterion",FALSE,-1,0,FALSE,4896.69603769499,300.578838801003,4039.59800664452,4128.90196078431,5187.44,5201.24,5158,5036.36,4887.92,4746.6,4623.08,4501.64,4387.36,4301.72,4238.36,4180.56449704142,4102.99408284024,4024.8875739645,3964.11384615385,3972.36,3963.24,3985.8,4051.12,4097,4154.68,4263,4321.96,4341.56,4394.24,4445.12,4490.16,4525.04,4552.4,4625.12,4620.36,4618.28,4603.68,4558.28,4517.32,4489.56,4467.68,4464.76,4445.24,4424.32,4386.2,4361.4,4332.96,4309.64,4330.16,4353.56,4393.16,4420.52,4482.36,4521.84,4557.44,4585.8,4621.68,4648.48,4683.64,4710.48,4750.88,4790.8,4827.32,4864.44,4900.48,4935.12,4964.48,4989.12,5009.68,5025.56,5039.16,4975.64,4826.04,4667.52,4536.56,4421.8,4328.76,4261.84,4201,4169.89742738589,4163.20746887967,4164.45228215768,4165.69709543568,4166.94190871369,4179.36381742739,4200.76,4254.96,4312,4366.12,4427.16,4458.8,4509.64,4541.12,4528.4,4552.64,4579.84,4598.88,4629.12,4639.56,4617.52,4575.68,4531.32,4462.84,4408.56,"positive",42,4890.72195215003,252.39447041912,"norisk","normals","not_trained"
"9","P001",2745999,"RESPONSE REW VAL2_3",2,"2_3",777,2745053,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"criterion",FALSE,-1,0,FALSE,4896.69603769499,300.578838801003,4290.57538495472,4396.54901960784,5024.28,5039.94,4982.08,4836.4,4675.78,4544.12,4428.08,4333.98,4264.98,4203.78,4171.56456431535,4163.13278008299,4164.377593361,4165.622406639,4166.86721991701,4179.55543568465,4196.8,4252.28,4308.24,4362.44,4424.36,4456.98,4506.36,4541.08,4528.04,4550.78,4579.14,4596.66,4627.12,4640.46,4619.8,4577.7,4535.42,4466.46,4411.66,4365.22,4325.2,4312.56,4287.08,4268.4,4251.94,4235.14,4218.14,4217.66,4232.4,4263.18,4309.16,4342.56,4373.54,4424.26,4475.18,4524.84,4572,4608.36,4655.86,4711.94,4759.42,4799.04,4823.88,4859.62,4878.96,4888.44,4907.18,4920.06,4932.72,4944.1,4923.92,4880.7,4773.5,4637.56,4520.2,4410.6,4305.7,4216.02,4167.16,4130.69793103448,4133.94636015326,4137.77777777778,4141.6091954023,4145.44061302682,4149.04812260536,4157.14,4219.55,4306.54,4359.5,4432.42,4483.96,4527.52,4566.28,4576.38,4601.28,4613.38,4620.42,4628.96,4628.2,4634.1,4600.44,4542.88,4471.06,4392.16,"positive",43,4890.72195215003,252.39447041912,"norisk","normals","not_trained"
"10","P001",2749333,"RESPONSE LOSE INV 2_4",2,"2_4",846,2748303,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"criterion",FALSE,-1,0,FALSE,4896.69603769499,300.578838801003,4274.4933300238,4397.91428571429,4901.54,4814.06,4680.24,4558.56,4445.62,4337.1,4236.8,4185.46,4135.88429118774,4132.72030651341,4136.55172413793,4140.38314176245,4144.21455938697,4148.04597701149,4146.6,4198.67,4283.04,4341.14,4408.58,4469.14,4513.2,4557.94,4572.28,4593.7,4610.34,4616.78,4629.84,4626.36,4634.66,4614.54,4564.68,4494.34,4418.1,4342.52,4308.42,4282.46,4268.06,4249.32,4234.9,4215.18,4191.78,4163.9,4135.18,4117.5,4111.3,4160.82966292135,4211.4531835206,4265.76029962547,4320.06741573034,4374.37453183521,4432.91490636704,4476.06,4536.06,4567.78,4614.02,4665.64,4699.16,4736.18,4760.16,4770.18,4793.12,4810.36,4810.28,4812.16,4812.94,4808.26,4810.18,4778.46,4679.38,4552.22,4470.06,4398.1,4334.54,4280.78,4228.78,4125.24,4041.18,3964.4,3918.8,3910.9,3908.92,3922.4,3959.68,3998.46,4059.82,4139.66,4227.52,4306.3,4367.52,4412.86,4469.86,4520.88,4561.52,4585,4568.64,4579.76,4582.36,4544.3,4435.36,4370.42,"positive",44,4890.72195215003,252.39447041912,"norisk","normals","not_trained"
