"","fname","time","text","block","info","RT","fix_cross_time","risk","rew","prev_rew","next_risk","prev_risk","learning","critical","trained","last_trial","trial_type","blink","blink_time","blink_duration","meg","Zmean","Zsd","BL_fix_m300","inter_trial","V_m1999_m1950","V_m1949_m1900","V_m1899_m1850","V_m1849_m1800","V_m1799_m1750","V_m1749_m1700","V_m1699_m1650","V_m1649_m1600","V_m1599_m1550","V_m1549_m1500","V_m1499_m1450","V_m1449_m1400","V_m1399_m1350","V_m1349_m1300","V_m1299_m1250","V_m1249_m1200","V_m1199_m1150","V_m1149_m1100","V_m1099_m1050","V_m1049_m1000","V_m999_m950","V_m949_m900","V_m899_m850","V_m849_m800","V_m799_m750","V_m749_m700","V_m699_m650","V_m649_m600","V_m599_m550","V_m549_m500","V_m499_m450","V_m449_m400","V_m399_m350","V_m349_m300","V_m299_m250","V_m249_m200","V_m199_m150","V_m149_m100","V_m99_m50","V_m49_0","V_1_50","V_51_100","V_101_150","V_151_200","V_201_250","V_251_300","V_301_350","V_351_400","V_401_450","V_451_500","V_501_550","V_551_600","V_601_650","V_651_700","V_701_750","V_751_800","V_801_850","V_851_900","V_901_950","V_951_1000","V_1001_1050","V_1051_1100","V_1101_1150","V_1151_1200","V_1201_1250","V_1251_1300","V_1301_1350","V_1351_1400","V_1401_1450","V_1451_1500","V_1501_1550","V_1551_1600","V_1601_1650","V_1651_1700","V_1701_1750","V_1751_1800","V_1801_1850","V_1851_1900","V_1901_1950","V_1951_2000","V_2001_2050","V_2051_2100","V_2101_2150","V_2151_2200","V_2201_2250","V_2251_2300","V_2301_2350","V_2351_2400","V_2401_2450","V_2451_2500","V_2501_2550","V_2551_2600","V_2601_2650","V_2651_2700","V_2701_2750","V_2751_2800","V_2801_2850","V_2851_2900","V_2901_2950","V_2951_3000","resp_1001_2200","index","feedback_prev","Zmean_2","Zsd_2","trial_type4","resp_flag","group","train"
"1","P301",617287,"RESPONSE REW VAL1_19",1,"1_19",1802,615317,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"learning",FALSE,-1,0,FALSE,5259.06118383728,371.996247599825,1.07101310844667,1.10396901670804,1.08182855785688,1.02926794038319,0.995360828761185,0.972572309297072,0.994717604421475,1.00831720474683,1.01576022924922,0.987458358301859,0.99480949361286,0.968804852450184,1.01998713205305,1.01870068337362,1.00923609666071,1.01451824308174,0.79880499792734,0.554934856561548,0.311064715195756,0.0671945738299676,-0.176675567535824,-0.420545708901612,-0.309813304944686,0.245912583804306,0.540141774627249,0.669613645292312,0.873607650172678,1.04442965696214,1.14743744050759,1.21056531499083,1.28619011950279,1.37065098865857,1.28721499942729,1.06718663237548,0.921392772655164,0.815166124450197,0.766832409780343,0.820403808359285,0.827387386904741,0.823068594909524,0.83005217345498,0.83970053855067,0.875353544809042,0.977258658057839,0.897866396698995,0.816085016364072,0.72410393578513,0.700580302789917,0.71289345443585,0.696996624325803,0.667408304699009,0.700304635215756,0.686061810550684,0.652614144885616,0.606761438383225,0.555119712823421,0.504213100794717,0.462127851139219,0.454684826636828,0.454225380679888,0.459738732163141,0.423442501565059,0.412323909407165,0.415631920297118,0.474165335210988,0.497413300632036,0.435479985636828,0.443566234478934,0.473154554105724,0.50035375475644,0.495483627612897,0.456706388847352,0.369135989455012,0.299116425617698,0.31528892330191,0.342947569909561,0.333023537239706,0.364541529885635,0.396151411722953,0.444209458818644,0.532974417699023,0.617971919732509,0.679629567153557,0.669889312866473,0.706553100230108,0.736417087431063,0.760124498809051,0.822884816526749,0.835657414129617,0.851186687474114,0.892628712789903,0.942248876139182,0.887023472115261,0.868186187880815,0.841905879143974,0.919368467483679,0.883439793651147,0.865705179713351,0.865429512139187,0.746393057469983,0.390536183092743,0.0345369090058734,0.47550538591872,19,"prev_rew",5419.0962764606,217.653455188737,"norisk",TRUE,"autists","not_trained"
"2","P301",733331,"RESPONSE REW VAL1_39",1,"1_39",3877,729270,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"norisk",FALSE,-1,0,FALSE,5259.06118383728,371.996247599825,0.875450929035135,1.04740074081702,0.56990794430189,0.37577788033277,0.258558530615505,0.141339180898281,0.0241198311810156,-0.09309951853625,-0.210318868253516,-0.24429119155975,0.354261192187945,0.515687997980447,0.929292500153534,1.16893951129228,1.27944461749867,1.01268820650986,0.797416891777413,0.811031110837755,0.913303780852102,0.899979848100904,0.906595869880811,0.843008549440623,0.832716960005218,0.802025970081775,0.882796569311433,0.858262155210956,0.884450574756412,0.943167768053057,0.953183689914301,0.999403953182238,1.04158109202913,1.08247178219659,1.0941417095028,1.042499983943,1.03450562429228,0.967242736196595,0.715833908560249,0.735590084708574,0.700764081172692,0.646181901488485,0.657116715263604,0.726860611526758,0.684591583488484,0.672094653459776,0.701223527129631,0.720428368129627,0.693229167478911,0.687256370038723,0.731822627861685,0.74174666053154,0.746800566057857,0.688267151143983,0.553925153335382,0.574048886249257,0.536282428588971,0.495024181655962,0.470397878364095,0.46084140245979,0.488591938258831,0.492267505914334,0.513310130742083,0.583237805388012,0.593069948866482,0.67448377243585,0.686429367316234,0.702693754191831,0.764810847569818,0.784383245335364,0.825641492268377,0.843835552163113,0.862948503971723,0.859456714698995,0.834370965450193,0.878293998933445,0.914682118722916,0.938665197675064,1.0196195752875,1.07190452518702,1.1118763234406,1.19108480641667,1.10480085570376,1.16599905716787,1.20753297167505,1.23776451564155,1.34527486956499,1.42825080938795,1.50883763023483,1.48513021885684,1.48650855672766,1.44892587745015,1.41639710369895,1.34793965611522,1.33893451535925,1.31614599589513,1.22719725863198,1.18217155485208,1.20146828504347,1.18658223603868,1.08100155513439,1.19788460657935,0.916152345785116,0.489523957200061,0.960328074544681,39,"prev_rew",5419.0962764606,217.653455188737,"norisk",TRUE,"autists","trained"
"3","P301",961866,"RESPONSE REW VAL4_2",4,"4_2",2395,959294,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"unused",FALSE,-1,0,FALSE,5259.06118383728,371.996247599825,0.689062404777104,0.735382538993985,0.361325408187071,0.29571652553636,0.218897161536365,0.185908941828236,-0.0491436097411274,-0.187069286013842,-0.22915453566934,-0.262234644568858,-0.283644826162162,-0.237954379687618,-0.246660298994422,-0.32590018713718,-0.405140075279887,-0.484379963422645,-0.563619851565403,-0.64285973970816,-0.350223197939739,-0.38435537992292,-0.10381767861672,0.256939286770814,0.445679685880847,0.533433863655958,0.601983200431072,0.658954499091358,0.785210248057853,0.938358900370427,1.05475187612802,0.930580384601576,0.407038845133765,0.320710385593772,0.251334046096173,0.249588151459809,0.268149768120094,0.279268360277988,0.420869604206206,0.506785998153567,0.497505189823426,0.526817841876056,0.649306133995663,0.554108931718157,0.517904590311461,0.463873745775583,0.449906588684675,0.46056573488563,0.463230521435869,0.588326169361098,0.76371966342209,0.792928940134409,0.788334480565031,0.671543318311451,0.55348102224366,0.445922171247018,0.401253814322524,0.356516540504442,0.353055380962191,0.302332547316262,0.290203174053108,0.306743228502865,0.281106144105738,0.37235211115358,0.348185253818653,0.351309486325831,0.348093364627263,0.360865962230136,0.405156552478934,0.483170475966968,0.530401520340169,0.588383600105714,0.520477487670314,0.355444499938269,0.253263719115311,0.134450994651203,0.0628693145602999,0.0520263899765702,0.0667286605985778,0.162675030048224,0.244145068181745,0.179024819819325,0.186368387785171,0.23718311062249,0.277614354833014,0.324845399206215,0.377497905871283,0.392383954876065,0.449630921110511,0.453030821191849,0.472511329766009,0.474808559550698,0.471500548660749,0.465619640411943,0.468927651301896,0.46056573488563,0.440533891163141,0.437133991081802,0.470949213512424,0.47931112992869,0.426107288115298,0.464700748498068,0.448436361622471,0.4305179693019,0.301773554735324,2,"prev_rew",5419.0962764606,217.653455188737,"norisk",TRUE,"autists","not_trained"
"4","P301",1262671,"RESPONSE REW VAL3_2",3,"3_2",2757,1259737,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"learning",FALSE,-1,0,FALSE,5259.06118383728,371.996247599825,0.451051082300976,0.552102371824582,-0.19083674286073,-0.201392219204758,-0.248105587474069,-0.402937192009905,-0.55776879654569,-0.712600401081476,-0.867432005617307,-0.81358090037886,-0.905734651855892,-0.855011818209963,-0.685206335600228,-0.52452659831017,-0.392717296339186,-0.300092991420533,-0.234851665535372,-0.138184236195662,-0.0529110665880157,0.0370484517803981,0.095949423459818,0.0908955179335051,0.133899659502878,0.182417152555508,0.205848896359331,0.260982411191863,0.320434718019612,0.293603074134446,0.313267361091381,0.366011756947838,-0.120541511449256,-0.0760671428176788,-0.065591774999499,-0.0763428103918433,-0.081948051066481,-0.1128228193727,-0.137816679430112,-0.136897787516238,-0.132211438755475,-0.130649322501886,-0.123849522339205,-0.145259703932508,-0.14140035789423,-0.17062112075547,-0.217668386745896,-0.242019022463599,-0.270320893410964,-0.269769558262639,-0.17108056671241,-0.120265843875091,-0.0553001855640899,0.0126059268713104,-0.0773535914971034,-0.0594351991765323,-0.00880425472198874,0.0394375707564764,0.059561303670351,0.108813910254076,0.116165045565082,0.138677897455031,0.153380168077038,0.227259077952635,0.234150767306701,0.226891521187081,0.251517824478947,0.276971130493299,0.248944927120094,0.248669259545934,0.308489123139228,0.340374672550712,0.319240158531573,0.300402874297123,0.304078441952626,0.269436216799519,0.151634273440679,0.134267216268428,0.118646053732546,0.184714382340197,0.278900803512438,0.385767933096163,0.483262365158354,0.52819617974687,0.682386242895181,0.850727241517179,0.86800240949804,0.90733098341191,0.84052754127316,0.843927441354498,0.757000266301873,0.592610502909542,0.615031465608106,0.61668547105308,0.493829622167923,0.411221239110515,0.371892665196641,0.37198455438803,0.358017397297122,0.357190394574633,0.425923509732523,0.558060166947825,0.508072446832995,0.500629422330604,0.370958458417536,2,"prev_rew",5419.0962764606,217.653455188737,"norisk",TRUE,"autists","not_trained"
"5","P301",1377237,"RESPONSE REW VAL3_26",3,"3_26",622,1376437,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"norisk",FALSE,-1,0,FALSE,5259.06118383728,371.996247599825,-0.563500227326321,-0.618060735983407,-1.43317861042045,-1.50999797442044,-1.43455694829126,-1.44328642147308,-1.40432540432476,-1.29001525023864,-1.22890893796592,-1.17634832049223,-1.16817018245874,-1.04972501476019,-0.9389066499468,-0.877524670099912,-0.831580074406136,-0.739966550592747,-0.726642617841554,-0.684833035760216,-0.728572290860689,-0.712767349942031,-0.604889439253047,-0.582744144128643,-0.572268776310464,-0.509508458592766,-0.487455052659752,-0.622532163999453,-0.546631691913337,-0.474131119908559,-0.405857450707604,-0.370388222832012,-0.345761919540145,-0.270872228559289,-0.242937914377473,-0.143054363339204,-0.0957314297746139,-0.0866343998272482,-0.0768022563487786,-0.128811538674132,-0.133773555009064,-0.163545653018629,-0.104736570530594,-0.092055862119111,-0.161169661069906,-0.574460989876412,-0.457039730310473,-0.497831295917144,-0.89451693513721,-1.33466857367337,-1.77482021220958,-2.21497185074574,-2.6551234892819,-3.09527512781812,-3.53542676635428,-3.52017316058395,-2.42751155042515,-2.21676229771734,-1.74914469996162,-1.40349468890765,-1.13996020070277,-0.834796196104703,-0.650925924138208,-0.420467832138227,-0.210868586583219,-0.00301523566457609,0.0880469530004915,0.155034173522017,0.180211811962205,0.234977770029186,0.23745877819665,0.242145126957417,0.198957207005265,0.108078796722976,0.0143518215076744,-0.0692673426549978,-0.206825462162167,-0.518789266922906,-0.361015525310478,-0.202782337741114,-0.0263550902770141,0.0888739557229766,0.209340685632059,0.338904445488508,0.488683827450221,0.481608359713379,0.448528250813861,0.486294708474142,0.421053382588981,0.342763791526786,0.279819695426313,0.243155908062682,0.259787851703828,0.22771852390957,0.210167688354549,0.224778069785171,0.260431076043538,0.24655580814402,0.340466561742097,0.406443001158363,0.425464063775583,0.41250768778994,0.446966134560272,0.413150912129654,0.100107409370108,26,"prev_lose",5419.0962764606,217.653455188737,"norisk",TRUE,"autists","trained"
"6","P301",1577309,"RESPONSE REW VAL2_2",2,"2_2",802,1576327,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"unused",FALSE,-1,0,FALSE,5259.06118383728,371.996247599825,-1.22786518665247,-1.25267870272377,-1.25865032810795,-1.57217531147748,-1.88570029484701,-2.1992252782165,-2.51275026158603,-2.82627524495556,-3.13924021996224,-2.76388506252665,-2.15441293551313,-1.31835387686256,-0.917772135927661,-0.80401331698987,-0.759171391592747,-1.41342243427212,-1.35553224369796,-1.28615590420036,-1.28248033654486,-1.28404245279845,-1.19151003707118,-1.08510235344439,-1.02473115470277,-0.925674606386992,-0.882211018860679,-0.776262781190829,-0.718372590616673,-0.649731364650169,-0.559496178707595,-0.523108058918124,-0.499676315114296,-0.615640474645387,-0.480655252497075,-0.321870729779382,-0.265083209501876,-0.225662746396617,-0.176226361430112,-0.179810039894226,-0.55067481633439,-0.733350528812845,-0.684373589803276,-0.63741821300424,-0.483136260664539,-0.475141901013819,-0.433240429741095,-0.369653109300908,-0.337767559889429,-0.310200802473163,-0.308822464602349,-0.254424063300917,-0.234116552004268,-0.259477968827234,-0.254975398449242,-0.233932773621493,-0.281114511599303,-0.207517992897272,-0.167680666631067,-0.163453763827239,-0.202047224210014,-0.195523091621497,-0.131843881989925,-0.0943530919037998,-0.0569541910090685,-0.0313171066119417,0.0330053273593452,0.118829832115321,0.109457134593791,0.124343183598573,0.139229232603356,-0.107240485172692,-0.59903854638481,-1.07823146422247,-1.55742438206014,-2.0366172998978,-2.51581021773546,-2.99500313557313,-3.01691594314457,-2.08329463948738,-1.63000525837258,-1.28597212581759,-1.04283332540612,-0.88028134584154,-0.767257640434849,-0.67564411662146,-0.567674316741086,-0.516308258755443,-0.498389866434872,-0.485341601257838,-0.524486396788938,-0.760549729463557,-0.736199093745859,-0.66673086505687,-0.679962908616674,-0.674449557133421,-0.582468476554483,-0.509876015358316,-0.466136760257839,-0.456028949205209,-0.431126978339181,-0.566020311296112,-0.58063069272673,-0.600478758066444,-0.954956628709157,2,"prev_rew",5419.0962764606,217.653455188737,"norisk",TRUE,"autists","not_trained"
"7","P301",1581925,"RESPONSE REW VAL2_3",2,"2_3",1903,1579842,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"unused",FALSE,-1,0,FALSE,5259.06118383728,371.996247599825,-0.629776451413514,-0.617420483831843,-0.538269775497071,-0.507946342339177,-0.45308849508081,-0.448677813894207,-0.477990465946832,-0.574566006095152,-0.564917640999458,-0.628504961439645,-0.621061936937254,-0.625196950549692,-0.664249856889402,-0.752004034664516,-0.827720728367862,-0.829282844621447,-0.754668821214755,-0.704864879482701,-0.705875660587965,-0.808706472357401,-0.963378670151905,-1.11327603329759,-1.14740322520516,-1.13619274385587,-1.16964040952094,-1.16541350671712,-1.23809785710467,-1.36297526820036,-1.51008986361183,-1.58341743833909,-1.61153553090368,-1.66593393220512,-1.62688102586541,-1.58497955459268,-1.53545128043479,-1.47884753854006,-1.3729911900616,-1.25417846559749,-1.20648797526735,-1.11799868396114,-1.09962084568363,-1.06994063686545,-0.999553516262584,-0.909131587769769,-0.692003356855909,-0.597813971516205,-0.826940366371297,-1.1953092838656,-1.5636782013599,-1.93204711885416,-2.30041603634846,-2.66878495384277,-3.03715387133707,-3.4002818563145,-2.98316549074568,-2.3762373816309,-2.03128535716203,-1.78731955402807,-1.45688602179843,-1.32539258892285,-1.20896898343482,-1.11220966490372,-1.07021630443961,-0.988894370061629,-1.01388823011904,-1.01636923828651,-1.03667674958315,-1.03254173597072,-1.00589387046833,-0.988159256530525,-0.944328112238663,-0.923285487410913,-0.876973334951587,-0.879086786353501,-0.84269866656403,-0.84205544222432,-0.79280283564059,-0.764500964693225,-0.68575192767409,-0.644769348315241,-0.769646759410927,-0.756506605042508,-0.677022454492274,-0.55995562466453,-0.494162963631044,-0.471650111741095,-0.786830038200398,-0.749063580540113,-0.695032736004235,-0.684741146568826,-0.644861237506631,-0.545069575659748,-0.46163418987985,-0.406776342621479,-0.342545797841582,-0.333540657085601,-0.325638186626271,-0.304411783415747,-0.311854807918138,-0.33583788687029,-0.471925779315255,-0.479093136243486,-0.836576549187836,3,"prev_rew",5419.0962764606,217.653455188737,"norisk",TRUE,"autists","not_trained"
"8","P301",1676864,"RESPONSE REW VAL2_23",2,"2_23",3598,1673086,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"unused",FALSE,-1,0,FALSE,5259.06118383728,371.996247599825,-0.0664590746431284,-0.0951999580783384,0.0257460812397289,0.0910792963162801,0.0834524934311139,0.103024891196664,0.0431131384119752,0.00994114032107169,-0.125687306166958,-0.238343454808096,-0.419732718607127,-0.537534661965967,-0.608932563674095,-0.674817113898971,-0.737944988382223,-0.820369593056856,-0.85216325327695,-0.854092926296088,-0.888000037918096,-0.946257785257801,-0.911891227678859,-1.02739594125301,-1.28836124479366,-1.47489630331039,-1.41296298831518,-1.36766161696112,-1.35029455978887,-1.31142543183194,-1.33733818380323,-1.29111792053529,-1.30021495048265,-1.32603581326256,-1.33301939180801,-1.28257222573625,-1.28036688514294,-1.31546855625299,-1.34156508660705,-1.35663491399461,-1.33991108116208,-1.32043057258792,-1.28211277977931,-1.24131397880323,-1.20961220777453,-1.18866147213817,-1.15539758485587,-1.11064754865014,-1.49761150693031,-1.61811367283076,-1.72014488933156,-1.82217610583237,-1.92420732233317,-2.02623853883398,-2.12826975533478,-2.19982724119713,-1.84493407702807,-1.50951555616565,-1.31985626514175,-1.19100464651855,-1.02013669513339,-0.961288231563344,-1.00557882181215,-1.11059504054076,-1.21561125926938,-1.2966443990459,-1.20382318871711,-1.11395555954009,-1.06047605015253,-1.01545034637263,-0.960868166688424,-0.941111990540099,-1.0178394653487,-0.993580718822392,-0.592668176798498,-0.38509049345402,-0.475509457779369,-0.26820744200905,-0.111536370693275,-0.19956621604255,-0.269861447454029,-0.12329818719088,-0.127800757568872,-0.284655607267422,-0.503995107109513,-0.507211228808077,-0.527702518487501,-0.543507459406159,-0.506292336894202,-0.632639975052087,-0.635947985942036,-0.633191310200412,-0.617386369281751,-0.585317041487497,-0.567490538358311,-0.505189666597548,-0.452537159932481,-0.424970402516215,-0.421478613243491,-0.400895434372677,-0.412289694104736,-0.417986823970763,-0.613159466477923,-0.612791909712373,-0.655832150606936,23,"prev_rew",5419.0962764606,217.653455188737,"norisk",TRUE,"autists","not_trained"
"9","P301",1898558,"RESPONSE REW VAL5_1",5,"5_1",2874,1895509,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"unused",FALSE,-1,0,FALSE,5259.06118383728,371.996247599825,-5.71512578740634,-24.9024132043325,-2.98252226640597,-2.92196728928157,-2.79433320244427,-2.82860787083182,-2.83549956018589,-2.78146871565001,-2.7719122397457,-2.71429771674571,-2.7305621036213,-2.8291479999812,-2.69966648694492,-2.54148620211482,-3.2909023927026,-3.19735919587007,-3.12404112692123,-3.06530492206772,-3.01100791573611,-2.95036104942033,-2.9889545098031,-2.92049706221938,-2.94861515478397,-2.96653354710454,-2.99952176681267,-2.86141231215718,-2.64326737180313,-2.45765120520027,-2.36438367594191,-2.33755203205674,-2.34398427545387,-2.3348872455065,-2.32018497488449,-2.37210236801846,-2.40692837155434,-2.54347570995624,-2.56396699963567,-2.50313635493711,-2.57435047826246,-2.56948035111892,-2.49817433860218,-2.47906138679357,-2.42071175026247,-2.43063578293233,-2.41630106907587,-2.41124716354956,-2.55101062365003,-2.72580355621018,-2.5981169612635,-2.47231628257812,-2.33236466841911,-2.2390623693678,-2.21154367706707,-2.17973588004829,-2.14794787454766,-1.91375908137734,-1.79292479470272,-1.65389644813335,-1.52561913695632,-1.49051746584628,-1.5124789825879,-1.33246805665969,-1.37115340623385,-1.2200263161318,-1.16460181885984,-1.16945663113817,-1.16918096356401,-1.04641700387023,-0.981543234750623,-0.99744006486067,-1.14731133601377,-1.09897135617179,-0.980952220178727,-1.02519060065971,-1.11524200821951,-1.06442021698285,-1.17432675828171,-1.39779749927593,-1.89423082139753,-2.23429826424335,-2.57436570708912,-2.91443314993493,-3.2545005927807,-3.59456803562647,-3.93463547847229,-3.64252180397689,-2.93510744364999,-2.44432727244908,-1.93425037105677,-1.71242986304722,-1.58047698421469,-1.43676228888456,-1.45982647592284,-1.31473344272189,-1.27200496872668,-1.44705387831996,-1.29846905584629,-1.1987692831908,-1.12296070029607,-1.04898990122909,-0.97910858018118,-1.09208320530761,-1.7569827203631,1,"prev_rew",5419.0962764606,217.653455188737,"norisk",TRUE,"autists","not_trained"
"10","P304",1627292,"RESPONSE LOSE INV 1_36",1,"1_36",2637,1624475,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"unused",FALSE,-1,0,FALSE,3341.98174573963,182.242724843907,0.504002554354239,0.420085845167597,-0.490782698796711,-0.487707171917822,-0.472329537523378,-0.471910147494439,-0.378106577688319,-0.365524876820135,-0.284442804558513,-0.233277221027902,-0.142129788071733,-0.122418456711582,-0.0567140188444044,0.0628121394033319,0.045197758187876,0.050370235211464,0.0937072048685369,0.0633713261085871,0.118171623223337,0.144453398370209,0.205404749242738,0.0526069820324754,0.0570804756744951,0.104611345620962,0.0734366868031306,0.0822438774108601,0.0773509937399014,0.0440793847773719,0.0320568706144431,-0.0228832231766229,-0.0581119856075345,-0.0899856278069307,-0.0322496004896044,-0.0873294909569834,-0.0701344997704666,-0.0634242593074355,-0.0927815613331942,-0.0625854792495542,-0.0473476415314228,-0.0385404509236965,0.0475743016852005,0.0277231736487332,0.0972021217763655,0.201210848953344,0.183736264414201,0.249300905605066,0.32688806095886,0.408109929896795,0.494084885829379,0.594878289451155,0.627730508384742,0.664217440902474,0.699865593362325,0.769344541489957,0.846931696843751,1.02461327243776,1.06389613848175,1.22703885973919,1.33761803070288,1.46105849588739,1.61581341656603,1.72527421411922,1.82718599115151,1.9419590624046,2.03017076515819,2.05589335359981,2.04233307599743,2.03813917570804,2.00976045041647,1.7515559892661,1.18705701031363,0.575865941472566,0.215433413309751,0.0475349838699889,-0.120657892319261,-0.0957941797077427,-0.180294280705221,-0.148979825211077,0.0305191071749967,-0.182950417555172,-0.750524923386529,-0.837465747264536,-0.871182163833541,-1.29279623080521,-1.74538797036901,-1.90235810162395,-1.87028118750062,-1.83816573483405,-1.84130246998746,-2.14206103940755,-2.19644194649336,-2.35273463061146,-1.57015283661049,-0.552293236374496,-0.630719171786167,-0.691810319335009,-0.698939949826982,-0.578714808197678,-0.630579375109854,-0.669862241153846,-0.74870756659446,-0.794141486396232,0.401042357794243,36,"prev_lose",3368.23378644187,143.064917760994,"norisk",TRUE,"autists","not_trained"
