"","fname","trial_type4","feedback_prev","group","Avg_block_V_m499_m450","Avg_block_V_m449_m400","Avg_block_V_m399_m350","Avg_block_V_m349_m300","Avg_block_V_m299_m250","Avg_block_V_m249_m200","Avg_block_V_m199_m150","Avg_block_V_m149_m100","Avg_block_V_m99_m50","Avg_block_V_m49_0","Avg_block_V_1_50","Avg_block_V_51_100","Avg_block_V_101_150","Avg_block_V_151_200","Avg_block_V_201_250","Avg_block_V_251_300","Avg_block_V_301_350","Avg_block_V_351_400","Avg_block_V_401_450","Avg_block_V_451_500","Avg_block_V_501_550","Avg_block_V_551_600","Avg_block_V_601_650","Avg_block_V_651_700","Avg_block_V_701_750","Avg_block_V_751_800","Avg_block_V_801_850","Avg_block_V_851_900","Avg_block_V_901_950","Avg_block_V_951_1000","Avg_block_V_1001_1050","Avg_block_V_1051_1100","Avg_block_V_1101_1150","Avg_block_V_1151_1200","Avg_block_V_1201_1250","Avg_block_V_1251_1300","Avg_block_V_1301_1350","Avg_block_V_1351_1400","Avg_block_V_1401_1450","Avg_block_V_1451_1500","Avg_block_V_1501_1550","Avg_block_V_1551_1600","Avg_block_V_1601_1650","Avg_block_V_1651_1700","Avg_block_V_1701_1750","Avg_block_V_1751_1800","Avg_block_V_1801_1850","Avg_block_V_1851_1900","Avg_block_V_1901_1950","Avg_block_V_1951_2000","Avg_block_V_2001_2050","Avg_block_V_2051_2100","Avg_block_V_2101_2150","Avg_block_V_2151_2200"
"1","P001","norisk","negative","normals",-0.665206216320385,-0.623568068570193,-0.583446155892136,-0.510005949449455,-0.509599238650942,-0.502944818760605,-0.379702695714008,-0.333205394010901,-0.333516990432193,-0.287852907888803,-0.138217334197274,-0.132657805599445,-0.127856394537679,0.000654247281423187,0.151755357347918,0.240277624162484,0.307419592203,0.392153378150097,0.476887164097153,0.561620950044212,0.650093046211449,0.713932959366299,0.641739223514043,0.757683204323193,0.737933270563065,0.676933967276369,0.657611689562227,0.677361623322357,0.691163250261028,0.704809365910252,0.740149306437724,0.798932573849759,0.835983138561182,0.830812388186977,0.85254509088759,0.830268098673902,0.762931710342125,0.614612818029351,0.180448793154771,-0.460887877252655,-0.971058044845838,-1.34692883144608,-1.5868438732448,-1.74278281874062,-1.8836371691598,-2.01663819946177,-2.02888471350594,-1.94903870772749,-1.7987063058705,-1.62920158361421,-1.45643112427945,-1.27588510047222,-1.091373538784,-0.960362510505739
"2","P001","norisk","positive","normals",-0.388273007995541,-0.357870550908099,-0.319089923101548,-0.303746142542499,-0.286004896271097,-0.276227123946938,-0.270447287689053,-0.267479613915385,-0.266753894564619,-0.267090835691761,-0.259542058516385,-0.244567617269778,-0.225426769393327,-0.169922198333859,-0.137243380189827,-0.11195743413719,-0.109400805394988,-0.0752658644167958,0.0117411370901061,0.178921296770406,0.247455114584946,0.334709058310315,0.392737479190251,0.440296103499415,0.474452879407611,0.520104531460973,0.604729675812214,0.65960359238831,0.695362753860561,0.756186408162239,0.785882584810096,0.801498510125684,0.819667412443071,0.839702450233858,0.870143785143662,0.829684931338465,0.829866361176157,0.736481831861533,0.384676417303657,-0.0926978838478985,-0.469171276694754,-0.818145089857232,-1.11364245836015,-1.38517164937661,-1.57183270058367,-1.58014094885522,-1.56426722229398,-1.5398241310663,-1.52691720320189,-1.5230364097626,-1.49419605436664,-1.46084282188079,-1.31673862860166,-1.13146911802916
"3","P001","postrisk","negative","normals",0.0688362282495821,0.111747624682145,0.0830849501454222,0.0974308665971701,0.115499334540122,0.103777671097841,0.0505830906504095,0.0569805033508777,0.082703880455544,0.0930862699481661,0.153852306300686,0.23444603205806,0.300149551850613,0.364016094536541,0.437574542992563,0.533394457887596,0.577603124231925,0.600997970460915,0.663431556630107,0.750856032417144,0.795358181799754,0.982096425634564,1.00401308681172,0.980287895715034,0.948048461520967,0.946376715159382,0.947358380174034,0.9952364184134,0.998822897526336,1.03663157977383,1.07790038821157,1.06880297777876,1.10191716297598,1.12814025415946,1.18519345847637,1.18907152125702,1.17701939632466,0.972327661586322,0.598470569467084,0.0689122167205627,-0.360579039199352,-0.704676925473871,-0.931198557468729,-1.12276902715974,-1.30458655244285,-1.52378458455291,-1.57233994705152,-1.55826480960006,-1.56374704520935,-1.58247689878865,-1.56200818797099,-1.49832677759747,-1.43492060819916,-1.29673756277614
"4","P001","postrisk","positive","normals",0.318441567272149,0.322018326929496,0.34215703891325,0.216659428327235,0.0950495999774688,-0.0124864566770878,-0.118389644792421,-0.360520722465808,-0.522563486072529,-0.656380950644107,-0.742689716288762,-0.764383541167013,-0.789265347478988,-0.78312265154572,-0.662990180445724,-0.44317497280839,-0.35835763448256,-0.165460196832395,0.0338657813116243,0.233191759455647,0.432517737599671,0.631843715743694,0.794701555981786,0.713517998119441,0.815688915287978,0.768802261518857,0.849434865098593,0.95316089516163,1.00867842549522,1.03301594229412,1.07928055090544,1.1415628223301,1.19288154784854,1.17997411082421,1.15244861259159,1.10944974105871,1.08371262265476,0.971044693448359,0.591752658480226,0.131750264287631,-0.286730615621862,-0.585467802654986,-0.807304657055166,-1.09111276030111,-1.18527484606298,-1.22087550399986,-1.29928623382104,-1.3756755653,-1.45206489677895,-1.5284542282579,-1.60484355973685,-1.5941510406945,-1.48051302908348,-1.35940121353088
"5","P001","prerisk","negative","normals",0.0709453501127459,0.0525950179576651,0.0728114855861422,-0.0567294185255648,-0.13261892777708,-0.109603256938508,-0.164654253403747,-0.303525834882443,-0.43648798736205,-0.640207776541326,-0.869431417190375,-1.08979091434078,-1.28915638741547,-1.45539795583733,-1.50376196685623,-1.49785253785714,-1.42382916407902,-1.33363261619812,-1.30843978730724,-1.13768839149133,-1.02089941311451,-0.782811628966821,-0.551566341554922,-0.348624108822895,-0.329185197641666,-0.212707241843744,-0.111935926280254,-0.0069658059016186,0.0995594273715133,0.14932303999546,0.250871912006198,0.325672842231565,0.365950266199073,0.427843759400106,0.437485459345994,0.465166468868063,0.509487186361266,0.34899953564904,-0.127798077804136,-0.677841508588186,-1.11156249486376,-1.45104363973274,-1.69472983030062,-1.85770566164404,-1.97760486580986,-2.03681176742419,-1.95907961940125,-1.81539727004776,-1.6535085460148,-1.49161982198188,-1.32973109794892,-1.16784237391599,-0.996452253497986,-0.705367006820805
"6","P001","prerisk","positive","normals",-0.865368684753497,-0.910369764138042,-0.938420112972556,-1.02245452600901,-1.11502262105402,-1.16601088508238,-1.13955452696473,-1.1290186371045,-1.12701642925284,-1.1020957451185,-1.06071030321367,-1.02445673386067,-1.02389300543642,-1.03539471541103,-0.965652214905866,-0.898172185266566,-0.741523905828417,-0.62047081041497,-0.45309402132023,-0.332020718659186,-0.209556315010203,-0.140319743825363,-0.0542412378943672,-0.0267546174841091,0.0835417645581822,0.102553019693423,0.161122459082466,0.220002921050407,0.294279000673882,0.351487716280239,0.406616468390203,0.434375233556997,0.462989310815766,0.473836223254893,0.492497577988872,0.513452724242236,0.532522296111021,0.4151112725764,0.0155444532462441,-0.474910939202865,-0.902744138820239,-1.16161656416322,-1.3377096682132,-1.48132261366173,-1.59885447800885,-1.71389816172475,-1.82052479689919,-1.84380914995573,-1.81482342357825,-1.7963370190449,-1.60919862110321,-1.44309312505961,-1.31996706163771,-1.1056141880423
"7","P001","risk","negative","normals",0.743259532226723,0.619083767601034,0.359068891640918,0.115926990586108,-0.122544906446522,-0.380664099788243,-0.540563917826347,-0.644212192244658,-0.717807909976791,-0.791248116419472,-0.907415049638496,-1.04706418756444,-1.14670804627942,-1.20362517821806,-1.1856636242866,-1.20580233627036,-1.14418098782586,-1.0619155157069,-1.11766631297467,-1.10083221589172,-1.02253228165373,-0.879811795761149,-0.748404756176044,-0.657041873624269,-0.544140677483693,-0.381398113074446,-0.262082076244066,-0.196378556451512,-0.114890640779801,-0.0589454544002255,0.03984309222278,0.0978488031875668,0.173621678971995,0.249355676934063,0.288350132763606,0.367077723047584,0.407860558705801,0.336325365558881,0.0188513550777825,-0.419889444144009,-0.61642360140519,-0.758732330540336,-0.895437779020837,-0.978802855220048,-1.03863328685891,-0.990872509583585,-0.967149076153107,-0.85289161213298,-0.719340419486189,-0.579166883026052,-0.409446201570444,-0.258464630493545,-0.0587284619033121,0.127318192538309
"8","P001","risk","positive","normals",-0.328459478290901,-0.45247973162714,-0.57429690836284,-0.719933230932606,-0.818423714250831,-0.948327478037921,-1.08815804580156,-1.19437225649579,-1.27145401896643,-1.3140122751792,-1.35164600722606,-1.36255771603578,-1.36489038537753,-1.34464799920081,-1.36674655867277,-1.33015039204027,-1.2767693376293,-1.21864726791806,-1.14507774345479,-1.00902123261633,-0.88452411708991,-0.713815102743757,-0.640777984602642,-0.501245480143782,-0.328200292808484,-0.202521252384779,-0.128446041510177,-0.0801338675877635,0.0594893517899417,0.172235036641068,0.254889286983652,0.335159030888007,0.394564343457842,0.445623883493869,0.489192963088062,0.517599691960898,0.567441060229569,0.522550134675051,0.241256130608551,-0.142104428938871,-0.502279231471724,-0.787195023613102,-0.976838349443933,-1.17400441694095,-1.33200755804484,-1.41556890118211,-1.48682855309967,-1.32902873654707,-1.31016783499686,-1.13994261171549,-0.962771217505352,-0.790788907358231,-0.667111229616146,-0.466579421870591
"9","P004","norisk","negative","normals",-0.803164929614797,-0.838206891116277,-0.870060990479765,-0.838501155313631,-0.850492421355775,-0.758167029436199,-0.668588103358586,-0.58960268838569,-0.551691650960014,-0.507650109422814,-0.470057858210939,-0.437247400206053,-0.413289390138212,-0.378149340570946,-0.405172602694552,-0.443206250202457,-0.475746966026434,-0.546321329358318,-0.547817172361531,-0.598455136322732,-0.558582337581369,-0.420891215236503,-0.302082045555135,-0.121109564182898,0.0564543569033298,0.195077315873149,0.305671610045072,0.338187803852604,0.41950281038788,0.482426304588579,0.612564645868047,0.688435764752288,0.700353464745094,0.799863807483378,0.827867950264828,0.85339536938522,0.808618167354637,0.479777926812401,-0.187907536982081,-0.860674507517891,-1.45147255107988,-1.73701235991528,-1.89665068697941,-2.02607075461326,-2.13799339302056,-2.17493945299039,-2.21556739155453,-2.25616774285018,-2.2967680941458,-2.22086180288959,-1.83352948402111,-1.51775488036656,-1.35721536919804,-1.17791038494414
"10","P004","norisk","positive","normals",0.40656335970982,0.41902054406444,0.499272929887052,0.53876261654539,0.597286363447493,0.638901291531161,0.634977768899784,0.599175624888475,0.620771347372008,0.622684064654804,0.646061720333422,0.615801552038931,0.581601513102101,0.584478763031777,0.57697502599927,0.468963717559669,0.540551657571325,0.607987202798107,0.71910463332088,0.815639638063704,0.921885361319185,1.01099836908432,1.1430412536411,1.23563638774159,1.34368039220311,1.47245367456708,1.57032921620896,1.66187807760774,1.7485225357173,1.83593535034218,1.91662913246082,1.94456788319841,2.00763850949779,2.09797761808523,2.15277615083679,2.25784481730286,2.24118619413047,1.86758509956861,1.11423605832241,0.499136084177303,0.0100440785576574,-0.393707170510575,-0.763943828448187,-1.12080570680448,-1.47325362220049,-1.82570153759647,-1.95361986177613,-1.48052703429037,-1.09760078108315,-0.895147013304127,-0.639153509617781,-0.311245105700497,-0.00933003921608133,0.199842761069175
