"","fname","time","text","block","info","RT","fix_cross_time","risk","rew","prev_rew","next_risk","prev_risk","learning","critical","trained","last_trial","trial_type","blink","blink_time","blink_duration","meg","Zmean","Zsd","BL_fix_m300","inter_trial","V_m1999_m1950","V_m1949_m1900","V_m1899_m1850","V_m1849_m1800","V_m1799_m1750","V_m1749_m1700","V_m1699_m1650","V_m1649_m1600","V_m1599_m1550","V_m1549_m1500","V_m1499_m1450","V_m1449_m1400","V_m1399_m1350","V_m1349_m1300","V_m1299_m1250","V_m1249_m1200","V_m1199_m1150","V_m1149_m1100","V_m1099_m1050","V_m1049_m1000","V_m999_m950","V_m949_m900","V_m899_m850","V_m849_m800","V_m799_m750","V_m749_m700","V_m699_m650","V_m649_m600","V_m599_m550","V_m549_m500","V_m499_m450","V_m449_m400","V_m399_m350","V_m349_m300","V_m299_m250","V_m249_m200","V_m199_m150","V_m149_m100","V_m99_m50","V_m49_0","V_1_50","V_51_100","V_101_150","V_151_200","V_201_250","V_251_300","V_301_350","V_351_400","V_401_450","V_451_500","V_501_550","V_551_600","V_601_650","V_651_700","V_701_750","V_751_800","V_801_850","V_851_900","V_901_950","V_951_1000","V_1001_1050","V_1051_1100","V_1101_1150","V_1151_1200","V_1201_1250","V_1251_1300","V_1301_1350","V_1351_1400","V_1401_1450","V_1451_1500","V_1501_1550","V_1551_1600","V_1601_1650","V_1651_1700","V_1701_1750","V_1751_1800","V_1801_1850","V_1851_1900","V_1901_1950","V_1951_2000","V_2001_2050","V_2051_2100","V_2101_2150","V_2151_2200","V_2201_2250","V_2251_2300","V_2301_2350","V_2351_2400","V_2401_2450","V_2451_2500","V_2501_2550","V_2551_2600","V_2601_2650","V_2651_2700","V_2701_2750","V_2751_2800","V_2801_2850","V_2851_2900","V_2901_2950","V_2951_3000","feedback_prev","index","Zmean_2","Zsd_2","trial_type4","group","train"
"1","P301",679360,"RESPONSE REW INV1_29",1,"1_29",3267,675909,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"learning",FALSE,-1,0,FALSE,5259.06118383728,371.996247599825,5079.33536881705,5390.3474702381,5176.12,5256.8,5306.5,5334.52,5360.22,5382.32,5400.16,5426.26,5438.52,5438.94,5463.24,5476.04,5477.46,5487.96,5488.26,5496.62,5482.38,5497.56,5502.98,5514.54,5524.12,5522.7,5536.5,5526.52,5530,5531.2,5531.86,5520.56,5515.2,5518.62,5512.62,5495.72,5484.42,5470.94,5476.64,5466.06,5458.18,5457.22,5438.62,5427.1,5425.1,5429.58,5431.98,5443.94,5446.34,5450,5461.48,5449.46,5450.62,5451.02,5445.42,5441.12,5436.74,5429.72,5419.08,5433.1,5439.4,5451.96,5462.36,5462.82,5484.98,5488.3,5491.22,5500.36,5506.48,5507.98,5530.34,5529.78,5529.36,5542.24,5522.04,5525.62,5538.84,5547.2,5562.52,5561.24,5554.36,5556.54,5573.58,5600.26,5606.16,5616.68,5612.52,5621.28,5623,5625.38,5643.3,5635.48,5628.04,5628.88,5617.42,5621.7,5613.92,5604.78,5560.94435897436,5457.34294871795,5388.43269230769,5319.52243589744,5250.61217948718,5181.70192307692,"positive",29,5419.90633937405,217.718022982941,"risk","autists","not_trained"
"2","P301",694560,"RESPONSE LOSE VAL1_32",1,"1_32",1708,692668,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"learning",FALSE,-1,0,FALSE,5259.06118383728,371.996247599825,5590.30564784053,5600.23404255319,5605.9,5594.76,5597.84,5599.26,5605.64,5602.56,5604.8,5601.96,5607.94,5621.62,5632.1,5643.46,5659.58,5668.7,5671.68,5656.88,5569.46279329609,5428.29469273743,5286.53491620112,5144.7751396648,5003.01536312849,4861.25558659218,4719.49581005587,4673.37569832402,4903.8,5040.73913043478,5237.22086956522,5360.1,5454.88,5504.66,5539.42,5384.82,5470.3,5504.24,5530.14,5533.98,5532.02,5536.18,5551.54,5559.26,5557.02,5554.7,5555.22,5560.24,5572.06,5575.06,5581.64,5596.42,5603.2,5629.34,5617.48,5582.06,5598.44,5597.88,5598.04,5595.86,5592.68,5586.78,5585.04,5590.1,5592.58,5595.74,5582.22,5573.94,5580.42,5582,5569.76,5556.18,5552.64,5536.44,5536.96,5535.84,5527.98,5537,5550.48,5566.06,5580.04,5589.24,5601.92,5581.48,5575.5,5608,5614.64,5626.68,5640.66,5640.4,5646.42,5663.02,5656.54,5661.48,5658.54,5656.38,5661.58,5675.98,5674.08,5656.66,5650.14,5642.26769230769,5549.21846153846,5450.44923076923,"positive",32,5419.90633937405,217.718022982941,"risk","autists","not_trained"
"3","P301",974600,"RESPONSE REW INV4_5",4,"4_5",2418,972004,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"unused",FALSE,-1,0,FALSE,5259.06118383728,371.996247599825,5514.49833887043,5525.20036429872,5540.2,5533.04,5513.59450980392,5501.22549019608,5476.76,5459.76,5459.9,5460.98,5452.94,5444.16,5468.48,5517.60933333333,5438.75555555556,5358.12063492063,5277.48571428571,5196.85079365079,5116.21587301587,5082.22209523809,5268.54,5361,5273.18,5416.1,5493.9,5555.18,5593.08,5609.92,5623.8,5625.7,5623.34,5630.64,5608.56,5608.1301369863,5608.94520547945,5609.14465753425,5621.52617647059,5640.44382352941,5635.15131672598,5617.81138790036,5602.15302491103,5586.49466192171,5570.83629893238,5555.17793594306,5539.73537366548,5526.76,5519.64,5519.32,5520.94,5530.28,5544.04410958904,5587.01589041096,5595.27769230769,5584.01230769231,5575.31038626609,5558.3991416309,5541.66094420601,5524.92274678112,5505.14678111588,5486.56,5486.24,5491.84,5507.42,5519.8,5524.76,5510.96,5512.2,5526.06,5536.3,5530.78,5572.62,5541.82,5505.42,5489.54,5479.26,5477.26,5492.74,5525.25052631579,5523.64947368421,5532.88,5540.86,5561.88,5573.36,5586.58,5597.72,5609.3,5604.78,5601.9,5598.36,5597.52,5596.86,5589.6,5585.7,5577.2,5565.76,5565.28,5551.74,5539.22,5539.16,5536.3,5534.68,5516.9,"positive",45,5419.90633937405,217.718022982941,"risk","autists","not_trained"
"4","P301",987526,"RESPONSE LOSE VAL4_7",4,"4_7",1583,985766,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"unused",FALSE,-1,0,FALSE,5259.06118383728,371.996247599825,5693.88372093023,5721.09357798165,5729.22666666667,5717.9,5686.5,5645.1,5618,5593.86,5563.64,5558.52,5550.96,5560.34,5560.28,5559.74,5556.74,5548.04,5536.04,5528.84,5535.2,5542.18,5573.04,5553.36,5538.54,5534.1,5537.22,5538.72,5508.54,5524.82,5609.84,5556.50655737705,5510.44098360656,5464.37540983607,5418.30983606557,5372.24426229508,5326.17868852459,5396.12426229508,5542.56,5544.6,5510.98,5550.76,5553.36,5571.74,5581.82,5591.16,5597.84,5599.96,5582.32,5513.58,5588.64,5647.08,5666.76,5660.86,5608.58,5596.36,5606.13973509934,5629.26158940397,5654.75827814569,5678.02039735099,5684.3275862069,5697.8724137931,5699.14676156584,5693.94483985765,5690.91992882562,5687.89501779359,5684.87010676157,5681.84519572954,5684.01990385216,5667.11403508772,5645.18421052632,5623.25438596491,5592.90561403509,5551.92,5513.8,5484.92,5471.04,5462.8,5461.46,5463.2,5504.4,5579.58,5593,5610,5625.28,5647.7,5661.04,5668.88,5674.62,5661.3,5658.54,5651.38,5649.82,5638.62,5632.4,5636.98,5626,5616.32,5612.92,5608.12,5606.98,5603.8,5598.74,5602.88,"negative",47,5419.90633937405,217.718022982941,"risk","autists","not_trained"
"5","P301",1310053,"RESPONSE REW INV3_13",3,"3_13",2143,1307733,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"learning",FALSE,-1,0,FALSE,5259.06118383728,371.996247599825,5467.70099667774,5462.62603305785,5543.8,5570.66,5584.64,5596.58,5596.26,5585.84,5556.56,5465.16,5475.98,5481.18,5477.98,5478.22,5490.6,5506.18,5513.06,5517.96,5520.34,5540.38,5565.62,5564.14,5569.14,5561.7,5574.02,5580,5582.4,5578.02,5577.38,5576.06,5574.92,5573.22,5567.36,5581.24,5579.4,5566.14,5568.24,5572.32,5571.28,5565.46,5562.84,5507.12,5482.98,5487.34,5478,5440.84417112299,5336.4385026738,5227.88235294118,5119.32620320856,5010.77005347594,4902.21390374332,4793.6577540107,4685.10160427807,4662.74545454545,4907.48,5082.85,5227.52,5309.16,5396.56,5436.46,5440.28,5461.84,5468.62,5468.82,5468.16,5451.7,5455.96,5461.34,5476.94,5476.2,5482.34,5487.96,5477.86,5478.56,5511.68,5531.86,5541.56,5534.96,5535.68,5565.32,5580.18,5604.18,5620.22,5616.96,5612.54,5617.32,5629.52,5632.82,5618.06,5619.72,5613,5611.76,5607.56,5551.96,5554.52,5551.3,5560.04,5546.3,5547.08,5549.48,5556.12,5564.1,"positive",93,5419.90633937405,217.718022982941,"risk","autists","not_trained"
"6","P301",1427371,"RESPONSE REW INV3_36",3,"3_36",1844,1425350,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"risk",FALSE,-1,0,FALSE,5259.06118383728,371.996247599825,5420.42524916944,5421.47807933194,5410.56,5415.9,5425.7,5442.94,5453.14,5464.52,5459.72,5457.3,5480.74,5494.88,5506,5506.02,5494.58,5391.68720207254,5263.15932642487,5136.08678756477,5009.01424870466,4881.94170984456,4754.86917098446,4627.79663212435,4500.77492227979,4557.26,4749.88,4696.3,4810.16,4904.68,5086.84,5248.02727272727,5306.43272727273,5306.9,5330.167,5253.475,5170.975,5190.753,5315.3,5319.07818181818,5305.21739130435,5291.38339920949,5277.54940711462,5263.71541501976,5332.6762055336,5411.56,5427.72,5406.28,5371.16,5290.7709375,5178.7734375,5066.01302083333,4953.25260416667,4840.4921875,4727.73177083333,4614.97135416667,4507.2146875,4639.92,4795.88,4884.24,4945.42,5010.32511627907,5193.07488372093,5262.5,5280.7,5193.73191489362,5159.68808510638,5181.33885057471,5193.17528735632,5203.23275862069,5211.78310344828,5218.44,5239.48,5269.02,5282.22,5291.54,5300.8,5311.36,5327.26,5325.12,5331.24,5314.44,5318.98,5352.54,5372.38,5383.46,5408.32,5425.52279069767,5414.03720930233,5416.62,5435.34,5452.56,5436.8,5432.82,5451.42,5464.98,5476.3,5485.42,5486.68,5498.4,5502.4,5501.1,5514.94,5530.2,"positive",116,5419.90633937405,217.718022982941,"risk","autists","trained"
"7","P301",1690996,"RESPONSE LOSE VAL2_26",2,"2_26",1270,1689546,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"unused",FALSE,-1,0,FALSE,5259.06118383728,371.996247599825,5493.56478405316,5493.70679012346,5497.34,5461.64,5470.44,5478.74,5490.7,5497.14,5496.84,5501.04,5499.84,5492.82,5473.74,5478.18,5484.3,5477.36,5476.88,5493.56,5498.3,5505.58,5502.04,5437.52,5452.14,5458.64,5470.28,5476.82,5475.68,5480.38,5472.6,5423.3,5356.22972972973,5290.01351351351,5223.7972972973,5157.58108108108,5091.36486486487,5025.14864864865,4969.62486486487,5045.22,5143.06,5213.46,5288.48,5353.56,5389.58435643564,5355.82425742574,5284.78465346535,5213.74504950495,5141.67168316832,5127.12,5264.84,5311.7,5339.52,5364.44,5385.08,5409.44,5394.38,5385.26,5398.5,5394.5,5399.58,5397.74,5391.92,5388.02,5381.82,5395.72,5410.48,5412.92,5414.34,5418.58,5428.86,5435.66,5457.42,5464.6,5461.78,5448.02,5431.8,5205.52,4788,4713.465,5022.47916666667,5253.69583333333,5344.96,5364.9,5347.2,5330.94,5339.62,5423.2,5426.66,5412.54,5410.24,5395.86,5389.98,5390.14,5398.6,5395.76,5389.7,5399.36,5406.42,5391.34,5401.36,5416.62,5439.58,5451.92,"positive",146,5419.90633937405,217.718022982941,"risk","autists","not_trained"
"8","P301",1912337,"RESPONSE REW INV5_4",5,"5_4",3875,1908289,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"unused",FALSE,-1,0,FALSE,5259.06118383728,371.996247599825,5324.39202657807,5339.41111111111,4874.76,4833.44,4782.76,4808.88,4818.3,4770.88,4732.52,4698.48,4691.22,4703.72,4717.74,4738.28,4767.26,4793.58,4827.3,4860.02,4895.9,4921.16,4931.36,4939.64,4960.9,4963.64,4991.96,5008.85307692308,5061.07692307692,5099,5114.3,5125.86,5138.26,5141.52,5115.86,5131.62,5131.12,5154.92,5157.12,5155.58,5149.82,5153.48,5144.16,5140.5,5132.56,5144.5,5142.04,5066.39536523929,4973.74559193955,4895.4080604534,4817.07052896725,4738.73299748111,4660.39546599496,4582.05793450882,4503.72040302267,4468.75365239295,4599.66,4698.68,4751.38,4813.84,4863.42,4933.54971428571,4995.41028571429,5025.72,5050.14,5069.16,5082.1,5090.3,5117.84,5125.26,5136.2,5143.32,5151.84,5187.98,5194.38,5211.98,5236.04,5228.48,5233.86,5238.54651162791,5228.86046511628,5231.94686940966,5264.53846153846,5290.98769230769,5260.4,5277.42,5305.52,5326.82,5349.1,5342.24666666667,5237.45333333333,5196.08421052632,5207.97368421053,5217.80210526316,5220.72452830189,5230.29547169811,5234.12,5236.00561797753,5239.93820224719,5243.87078651685,5243.40539325843,5249.52,5290.38,5365.97214285714,"negative",164,5419.90633937405,217.718022982941,"risk","autists","not_trained"
"9","P301",1926025,"RESPONSE LOSE VAL5_6",5,"5_6",1586,1924267,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"unused",FALSE,-1,0,FALSE,5259.06118383728,371.996247599825,5269.35960591133,5306.85714285714,5240.76,5265.94,5298.57828571429,5304.28571428571,5311.196,5326.66580645161,5320.85483870968,5316.01612903226,5311.28322580645,5324.53787610619,5329.13716814159,5334.50495575221,5322.56,5303.98,5314.44,5337.18,5340.16,5354.7,5359.28,5341.99633587786,5314.14122137405,5284.75190839695,5255.36259541985,5225.97328244275,5196.53465648855,5204.07428571429,5238.56593406593,5283.11978021978,5318.02,5324.9,5330.48,5342.6,5338.12,5358.3,5368.38,5376.74,5370.76,5371.58,5371.96,5381.5,5382.24,5392.44,5385.08,5331.15789757412,5237.79380053908,5153.29245283019,5068.79110512129,4984.2897574124,4899.7884097035,4815.28706199461,4730.78571428571,4773.75380053908,4905.1,4978.26,5031.18,5082.22,5127.36,5150.78,5174.8,5179.78,5224.38,5231.7,5242.4,5262.86,5280.02,5281.12,5300.24,5331.02,5333.4,5348.37849056604,5324.80188679245,5301.21698113208,5292.88355521502,5305.51269035533,5320.23350253807,5334.95431472081,5354.7585786802,5353.9,5365.9,5339.0925,5359.46875,5381.34375,5403.405,5408.58,5420.05330049261,5437.20197044335,5433.26108374384,5429.32019704434,5426.52344827586,5418.22,5417.82215568862,5394.00299401198,5361.96706586826,5328.32778443114,5300.56,5305.98,5321.32,5334.2,5342.34,5334.36,"positive",166,5419.90633937405,217.718022982941,"risk","autists","not_trained"
"10","P301",2035361,"RESPONSE LOSE VAL5_28",5,"5_28",1118,2034069,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"unused",FALSE,-1,0,FALSE,5259.06118383728,371.996247599825,5584.79069767442,5557.17777777778,5441.6,5454.44,5471.06,5477.32,5486.5,5527.78,5550.7,5581.46,5600.22,5610.02,5626,5566.94,5551.72,5557.6,5554.12,5548.4,5542.6,5517.34,5516.9,5512.02,5516.7,5483.78,5460.36,5476.96,5492.04,5503.96,5493.88,5492.36,5469.34,5455.78,5475.6,5469.72,5453.98,5426.82,5359.57055837563,5271.30710659898,5200.49492385787,5129.68274111675,5058.87055837563,4988.05837563452,4917.2461928934,4846.43401015228,4792.17553299492,4933.84,5015.16,5042.3,5136.48,5203.3,5245.98,5280.98,5301.2,5320.56,5297.72,5234.06,5259.4,5262.7,5269.24,5284.78,5298.44,5315.38,5333.86,5353.38,5370.44,5393.68,5395.86,5406.4,5419.6,5435.76,5441.2,5453.7,5453.1,5443.02,5437.48,5375.44,5268.96,5350.2,5402.5,5430.28,5460.9,5480.32,5498.44,5481.44,5461.54,5483.99,5483.66,5487.06,5483.46,5477.24,5478.42,5478.68,5512.16,5506.1,5501.7,5502.26,5507.96,5521.1,5523.52,5541.8,5556.66,5566.46,"positive",188,5419.90633937405,217.718022982941,"risk","autists","not_trained"
