"","fname","time","text","block","info","RT","fix_cross_time","risk","rew","prev_rew","next_risk","prev_risk","learning","critical","trained","last_trial","trial_type","blink","blink_time","blink_duration","meg","Zmean","Zsd","BL_fix_m300","inter_trial","V_m1999_m1950","V_m1949_m1900","V_m1899_m1850","V_m1849_m1800","V_m1799_m1750","V_m1749_m1700","V_m1699_m1650","V_m1649_m1600","V_m1599_m1550","V_m1549_m1500","V_m1499_m1450","V_m1449_m1400","V_m1399_m1350","V_m1349_m1300","V_m1299_m1250","V_m1249_m1200","V_m1199_m1150","V_m1149_m1100","V_m1099_m1050","V_m1049_m1000","V_m999_m950","V_m949_m900","V_m899_m850","V_m849_m800","V_m799_m750","V_m749_m700","V_m699_m650","V_m649_m600","V_m599_m550","V_m549_m500","V_m499_m450","V_m449_m400","V_m399_m350","V_m349_m300","V_m299_m250","V_m249_m200","V_m199_m150","V_m149_m100","V_m99_m50","V_m49_0","V_1_50","V_51_100","V_101_150","V_151_200","V_201_250","V_251_300","V_301_350","V_351_400","V_401_450","V_451_500","V_501_550","V_551_600","V_601_650","V_651_700","V_701_750","V_751_800","V_801_850","V_851_900","V_901_950","V_951_1000","V_1001_1050","V_1051_1100","V_1101_1150","V_1151_1200","V_1201_1250","V_1251_1300","V_1301_1350","V_1351_1400","V_1401_1450","V_1451_1500","V_1501_1550","V_1551_1600","V_1601_1650","V_1651_1700","V_1701_1750","V_1751_1800","V_1801_1850","V_1851_1900","V_1901_1950","V_1951_2000","V_2001_2050","V_2051_2100","V_2101_2150","V_2151_2200","V_2201_2250","V_2251_2300","V_2301_2350","V_2351_2400","V_2401_2450","V_2451_2500","V_2501_2550","V_2551_2600","V_2601_2650","V_2651_2700","V_2701_2750","V_2751_2800","V_2801_2850","V_2851_2900","V_2901_2950","V_2951_3000","feedback_prev","index","Zmean_2","Zsd_2","trial_type4","group","train"
"1","P001",2576502,"RESPONSE REW INV1_13",1,"1_13",774,2575545,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"unused",FALSE,-1,0,FALSE,4896.69603769499,300.578838801003,4601.63622795809,4667.18543046358,5002.94,4982.94,4914.18,4817.72,4724.44,4629.92,4541.24,4471.22,4381.02,4365.53353846154,4388.68,4413.60307692308,4438.52615384615,4463.44923076923,4488.37230769231,4513.29538461539,4538.50030769231,4568.38,4608.22,4683.36,4733.64,4713.94,4731.34,4746,4751.42,4790.16,4799.94,4801.46,4793.28,4790.4,4835.48,4836.78,4827.78,4807.48,4793.32,4779.84,4765.38,4751.94,4754.86,4765.5,4775.94,4798.88,4823.2,4856.82,4848.40768729642,4842.85667752443,4882.59609120521,4922.33550488599,4962.07491856678,5001.81433224756,5041.55374592834,5092.32104234528,5069.08,5079.11,5107.08,5125.5,5110.34,5096.66,5090.88,5087.16,5084.38,5086.04,5096.6,5096.6,5103.74,5105.02,5121.84,5099.04,4998.94,4868.76,4757.54,4679.9,4621.68,4555.96,4520.46,4542.40287625418,4551.07859531773,4559.27257525084,4567.46655518395,4575.66053511706,4583.85451505017,4606.40434782609,4618.44,4662.74,4681.56,4749.52,4828.36,4853.52,4887.06,4924.98,4949.54,4985.32,5001.7,5004.96,5003.66,4967.76,4938.32,4911.34,4879.98,4816.82,"positive",13,4890.72195215003,252.39447041912,"risk","normals","not_trained"
"2","P001",2756959,"RESPONSE LOSE VAL2_6",2,"2_6",1242,2755548,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"risk",FALSE,-1,0,FALSE,4896.69603769499,300.578838801003,4100.94843388446,4237.13461538462,4158.18,4124.45182879377,4092.92996108949,4061.41245136187,4029.89494163424,3998.37743190661,3976.69338521401,3989.94,4060.62,4141.6,4219.36,4285.86,4321.96,4392.62,4448.56,4489.38,4510.74,4536.72,4566.34,4576.44,4571.56,4559.16,4527.52,4463.66,4418.7,4355.42,4325.26,4313.78,4328.7,4342.26,4366.72,4408.12,4448.16,4470.78,4492.48,4512.14,4539.04,4575.54,4588.68,4605.04,4609.3,4622.42,4641.4,4647,4672.44,4708.82,4715.76,4722.94,4757.26,4760.58,4786.04,4810.14,4814.68,4793.24,4817.94,4855.76,4885.82,4907.64,4927.62,4937.54,4935.68,4945.84,4954.66,4964.08,4958.5,4962.94,4968.04,4947.64,4852.16322580645,4709.66344086021,4549.07333333333,4445.26,4392.8,4342.72,4282.5,4241.2,4249.27413680782,4266.85667752443,4284.44625407166,4302.03583061889,4319.62540716612,4337.21498371335,4376.46671009772,4437.4,4520.78,4599.42,4683.82,4728.42,4750.7,4760.76,4768.66,4778.26,4795.86,4796.88,4769.76,4696.64,4650.8,4570.36,4503,4441.72,"negative",46,4890.72195215003,252.39447041912,"risk","normals","trained"
"3","P001",2792724,"RESPONSE LOSE VAL2_16",2,"2_16",2288,2790268,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"risk",FALSE,-1,0,FALSE,4896.69603769499,300.578838801003,4766.84717607973,4850.8785046729,5017.72,4988.56,4932.16,4862.72,4810.44,4758.16,4717.16,4699.28,4682.72,4677.24,4682.76,4672.96,4625.72,4638.16,4679.56,4801.16,4845.2,4867.2,4879.48,4866.36,4829.48,4837.72,4853.72,4874.88,4894.88,4915.04,4925.84,4943.72,4968.16,4987.28,5010.56,5012.03392996109,4998.87548638132,4985.64591439689,4972.41634241245,4959.18677042802,4994.24155642023,5073.08,5051.24,5030.36,5084.52,5097.16,5082.8,5089.48,5122.8,5128.32,5123.64127320955,5128.68435013263,5148.31299734748,5167.94164456233,5187.57029177719,5207.19893899204,5226.8275862069,5246.45623342175,5277.24668435013,5280.04,5281.64,5300.24,5319.52,5334,5341.36,5345.56,5353,5351.92,5355.08,5363.12,5355.84,5303.6,5178.76,5025.84,4914.96,4815.28,4722.08,4649.84,4587.44,4512.56,4489.88,4446.56,4428.64,4481.552,4539.44888888889,4597.67111111111,4655.89333333333,4713.59466666667,4740.32,4782.92,4839.36,4884.2,4934.28,4960.16,4978.08,4991.16,4997.2,5000.88,4996.04,4984,4965.16,4929,4880.6,4847.04,"negative",56,4890.72195215003,252.39447041912,"risk","normals","trained"
"4","P001",2799889,"RESPONSE REW INV2_18",2,"2_18",1023,2798697,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,"risk",FALSE,-1,0,FALSE,4896.69603769499,300.578838801003,4685.06104031338,4767.99056603774,4867.96,4770.54,4678.5,4609.22,4552.96,4528.13253731343,4544.05223880597,4561.21641791045,4578.38059701493,4595.5447761194,4612.70895522388,4629.87313432836,4630.49134328358,4679.16,4736.54,4790.94,4835.72,4891.32666666667,4928.67333333333,4941.1,4972.96,4994.58,5008.18,5024.5,5021.86,4995.86,4983.56,4980.18,4957.22,4937,4924.06,4920.52,4913.8,4919.74,4920.98,4926.88,4956.6,4976.08,4992.42,5011.8,5023.3,5044.7,5073.44,5099.54,5113.94,5117.9,5126.62,5135.32,5154.1,5156.56,5156.52,5153.54,5150.9,5125.8,5131.14,5138.02,5151.12,5168.78,5232.3,5270.44,5279.16,5294.6,5308.14,5322.68,5335.12,5342.88,5344.78,5316.14,5217.56,5087.52,4949.6,4764.16,4670.36,4611.64,4575.3,4542.26,4529.56,4574.14,4606.96,4619.2,4661.82,4731.34,4783.26,4831.02,4901,4948.48,4978.96,5000.68,5031.64,5055.2,5075.04,5093.84,5111.42,5119.36,5060.88,5012.16,4995.34,4973.14,4938.6,4882.54,"positive",58,4890.72195215003,252.39447041912,"risk","normals","trained"
"5","P001",2805914,"RESPONSE LOSE VAL2_19",2,"2_19",3550,2802196,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,"risk",FALSE,-1,0,FALSE,4896.69603769499,300.578838801003,4816.72425249169,4927.11111111111,4794.24,4811.12,4835.08,4870,4897,4901.32,4912.6,4928.72,4923,4920.32,4916.76,4923.64,4931.28,4940.24,4931.68,4928.8,4922.4,4930.24,4942.52,4959.6,4945.76,4969.28,4975.68,4974.84,4955.68,4927.92,4911.52,4904.64,4918.46222222222,4997.86009661836,5028.42028985507,5042.91304347826,5057.40579710145,5071.89855072464,5119.52,5098.6,5087.56,5083.28,5046.64,5037.16,5049.12,5060.88,5055.32,5064.8,5063.96,5119.42475471698,5137.27547169811,5151.99245283019,5166.70943396226,5181.42641509434,5197.29147169811,5239.92,5207.96,5221.64,5229.2,5257.8,5265.4,5271.92,5276.6,5297.64,5306.32,5310.32,5310.72,5311.32,5311.24,5303.96,5296.08,5256.12,5155.84,5024.44,4912.90392523365,4874.80373831776,4848.63551401869,4822.46728971963,4796.29906542056,4770.13084112149,4743.96261682243,4752.31700934579,4748.6,4743.72,4789.28,4822.72,4874.64,4937.96,4986.6,5011.72,5033.28,5057.16,5088.52,5105.6,5113.36,5110.92,5113.56,5107.8,5087.16,5050.64,5026.12,5014.72,5016.04,5020.32,"positive",59,4890.72195215003,252.39447041912,"risk","normals","trained"
"6","P001",2993513,"RESPONSE LOSE VAL3_11",3,"3_11",1393,2991943,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"learning",FALSE,-1,0,FALSE,4896.69603769499,300.578838801003,5069.13953488372,5021.07142857143,5036.92,5024.24,5029.72,5045.08,5042.72,5043.72,5071.72,5119.6,5139.2,5158.52,5174.56,5139.16,5142.84,5167.12,5192.48,5177.84,5097.04,4995.52,4905.6,4847.84,4799.32,4762.92,4759.48,4730.4,4712.44,4704.12,4700.76,4712.44,4725.5584,4749.3816,4770.04,4784,4794.96,4791.6,4788.24,4791.68,4775,4755.76,4737.6,4728.04,4731.24,4738.72,4751.8,4751.76,4743.52,4792.99037433155,4812.88235294118,4834.27272727273,4855.66310160428,4901.23144385027,4922.2,4946.8,4971.4,5008.24,5030.8,5039.56,5046.72,5044.52,5094.72,5120.16,5126.12,5135.68,5126.36,5115.32,5105.36,5097.16,5098.36,5072.24,5000.6,4897.88,4798.2,4723.09400722022,4702.08483754513,4682.77075812274,4663.45667870036,4644.14259927798,4629.47111913357,4679.92,4663.96,4712.76,4781.08,4822.08,4837.04,4879.44,4917.52,4957.4,4991.48,5005.12,5010.96,5021.04,5034.68,5061.56,5065.16,5070.04,5068.76,5072.4,5068.52,5069.36,5068.04,5073,"positive",91,4890.72195215003,252.39447041912,"risk","normals","not_trained"
"7","P001",3083679,"RESPONSE REW INV3_33",3,"3_33",1630,3081872,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"risk",FALSE,-1,0,FALSE,4896.69603769499,300.578838801003,4938.62790697674,4864.9103343465,4936.24,4944.16,4953.24,4961.2,4973.32,4977.32,4982.36,4992.56,4998.4,4998.68,5000.68,4987.4,4953.2,4877.68,4887.84,4878.4,4877.96,4865,4848.8,4828.16,4797.32,4812.08,4823.12,4831.48,4835.84,4831.04,4826.88,4828.92,4841.48,4882.72,4913.60108303249,4949.52166064982,4985.44223826715,5021.36281588448,5057.28339350181,5098.92880866426,5117,5109.56,5108.12,5122.68,5144.6,5145.16,5165.12,5164.92,5176.64,5191.32,5202.64,5206.52,5204.64,5197.64,5205.96,5213.36,5219,5230.68,5268.12,5300.52,5310.64,5327.52,5335.4,5346.52,5358.16,5376.4,5378.64,5383.2,5386.56,5403.36,5421.12,5393.24,5261.2,5109.86,4995.36,4920.84,4856.68,4832.92,4767.6,4741.15062972292,4730.76826196474,4726.73803526448,4722.70780856423,4718.67758186398,4714.64735516373,4710.61712846348,4706.58690176322,4725.94629722922,4804.12,4847.36,4873.68,4900.56,4921.24,4936.04,4962.84,4990.68,4992.84,5003.4,5022.12,5032.12,5041.52,5052.04,5024.32,5048.4,"positive",113,4890.72195215003,252.39447041912,"risk","normals","trained"
"8","P001",3473642,"RESPONSE LOSE VAL5_9",5,"5_9",1426,3472033,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"risk",FALSE,-1,0,FALSE,4896.69603769499,300.578838801003,4958.00124726452,5035.25232271521,4768.62457337884,4809.92150170648,4851.21843003413,4892.51535836177,4933.81228668942,4981.03337883959,5059.96,5078.1,5097.44,5120.58,5143.52,5167.46,5174.16,5180.66,5193.14,5194.24,5189.4,5167.72,5146.96,5096.3,5040.38,4984.82,4959.02,4986.88,4974.04,4969.88,4956.58,4949.54,4922.46,4896.78,4894.86,4913.84,4935.5,4965.84,4992.06,5034.66,5061.32,5089.68,5126.98,5156.5,5187.58,5219.82,5241.96,5253.6,5263.24,5240.46,5238.7,5261.32,5262.92,5246.18,5261.14,5278.48,5285.78,5309.88,5327.18,5348.34,5356.04,5388.04,5405.54,5412.84,5417.52,5423.24,5427.78,5432.04,5435.98,5444.9,5448.38,5417.52,5324.04,5173.98,5067.26,4997,4945.86,4866.42,4814.28,4777.88,4748.74,4747.91454545455,4757.59090909091,4790.27489177489,4822.95887445887,4855.64285714286,4895.87792207792,4944.86,5002.94,5044.74,5083.6,5124.38,5131.98,5163.1,5184.88,5201.22,5229.96,5232.94,5226.26,5203.14,5212.74,5208.12,5208.92,5204.88,"positive",169,4890.72195215003,252.39447041912,"risk","normals","trained"
"9","P001",3521916,"RESPONSE LOSE VAL5_22",5,"5_22",1787,3519946,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"risk",FALSE,-1,0,FALSE,4896.69603769499,300.578838801003,5011.58220791377,5082.30463576159,5124.6,5152.62,5187.44,5199.98,5209.44,5228.52,5226.44,5218.28,5204.74,5153.42,5121.06,5092.7,5039.08,4991,4945.36,4922.32,4939.64,4956.48,4971.56,4985.64,4993.78,5009.9,5039,5062.6,5087.56,5109.56,5142.7,5168.12,5180.34,5189,5186.26,5175.48,5159.84,5156.76,5148.02,5139.2,5127.52,5108.56,5092.62,5089.82,5100.32,5114.84,5134.18,5145.86,5154.42,5174.28,5183.98,5183.28,5185.62,5187.24,5193.16,5206.2,5217.56,5231.04,5244.04,5261.7,5286.96,5309.86,5316.64,5346.28,5345.74,5371.32,5386.16,5391.68,5404.8,5435.5,5443.92,5414.06,5317.76,5194.94,5116.31157894737,5049.60175438597,4982.40877192982,4915.21578947368,4848.02280701754,4780.29929824561,4727.92,4728.57298969072,4763.92268041237,4809.79896907217,4855.67525773196,4901.55154639175,4947.42783505155,5021.01072164948,5088.52,5120.42,5153.2,5180.94,5197.6,5218.5,5226.8,5237.06,5242.34,5238.04,5222.24,5146.28,5126.44,5150.04,5165.68,5097.22,"negative",182,4890.72195215003,252.39447041912,"risk","normals","trained"
"10","P004",4276366,"RESPONSE LOSE VAL1_9",1,"1_9",1657,4274537,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"risk",FALSE,-1,0,FALSE,3506.59445294222,258.180645143606,3722.33222591362,3637.73162393162,3734.48,3745.44,3740.82,3721.62,3709.72,3694.9,3691.26,3665.36,3639.62,3639.8,3613.2,3549.54,3432.02,3362.4,3312.98,3279.88,3252.54,3259.3,3268.58,3285.14,3288.52,3280.3,3276.06,3289,3290.68,3303.76,3319.32,3332.9,3341.1,3368.98,3407.34,3395.3,3406.46,3424.54,3417.06,3427.46,3428.72,3422.94,3412.48,3410.48,3417.94,3413.12,3401.02,3392.6,3384.4,3398.36,3402.4,3407.6,3404.06,3396.6,3409.26,3426.62,3451.88,3492.06,3533.44,3528.28,3533.6,3552.8,3564.62,3576,3585.9,3606.5,3631.94,3642.78,3657.26,3670.18,3664.92,3609.52,3463.78,3321.96,3236.48,3181.32,3159.08,3139.2,3142.7,3152.42,3170.88,3213.24,3246.36,3279.68,3319.86,3385.98577777778,3402.13888888889,3402.32407407407,3402.50925925926,3402.69444444444,3402.87962962963,3448.11792592593,3498.84,3513.5,3521.84,3542.48,3572.76,3587.66,3606.12,3618.04,3646.86,3654.66,3664.76,3664.34,"negative",9,3471.10741216888,206.160132533263,"risk","normals","trained"
